Time_Slot_EXT,Optimized_Cost,Nominal_Cost,P_IT_Total_kW,P_Grid_IT_kW,P_Chiller_HVAC_kW,P_Chiller_TES_kW,P_Grid_Cooling_kW,P_Grid_Other_kW,P_UPS_Charge_kW,P_UPS_Discharge_kW,E_UPS_kWh,T_IT_Celsius,T_Rack_Celsius,T_ColdAisle_Celsius,T_HotAisle_Celsius,E_TES_kWh,Q_Cool_Total_Watts,Q_Charge_TES_Watts,Q_Discharge_TES_Watts,P_IT_Nominal,Price_GBP_per_MWh,Q_Chiller_Direct_Watts
1,1614.8042,2229.2304,400.0240,400.0240,0.0000,0.0000,0.0000,40.0024,0.0000,0.0000,600.0000,28.5000,26.0000,20.0000,27.0000,150.0000,0.0000,0.0000,0.0000,733.3440,60,0.0000
2,1614.8042,2229.2304,391.6910,391.6910,0.0000,0.0000,0.0000,39.1691,0.0000,0.0000,600.0000,34.0668,31.4878,29.2655,31.4136,110.5206,142125.9700,0.0000,142125.9700,708.3450,60,0.0000
3,1614.8042,2229.2304,383.3580,383.3580,6.5140,0.0000,6.5140,38.3358,0.0000,0.0000,600.0000,36.4824,33.4054,29.5510,33.3725,27.1872,339084.1200,0.0000,300000.0000,683.3460,60,39084.1200
4,1614.8042,2229.2304,375.0250,375.0250,51.2537,0.0000,51.2537,37.5025,0.0000,0.0000,600.0000,37.3295,34.0431,29.5598,34.0320,0.0000,405396.5200,0.0000,97874.0340,658.3470,60,307522.4860
5,1614.8042,2229.2304,375.0250,375.0250,71.6598,0.0000,71.6598,37.5025,0.0000,0.0000,600.0000,37.6609,34.2804,29.5600,34.2763,0.0000,429958.7500,0.0000,0.0000,633.3480,55,429958.7500
6,1614.8042,2229.2304,358.3590,358.3590,71.1809,0.0000,71.1809,35.8359,0.0000,0.0000,600.0000,37.5545,34.2472,29.5601,34.2477,0.0000,427085.1600,0.0000,0.0000,625.0150,55,427085.1600
7,1614.8042,2229.2304,341.6930,341.6930,68.7782,0.0000,68.7782,34.1693,0.0000,0.0000,600.0000,37.2859,34.1019,29.5601,34.1043,0.0000,412668.9900,0.0000,0.0000,608.3490,55,412668.9900
8,1614.8042,2229.2304,325.0270,325.0270,65.6239,0.0000,65.6239,32.5027,0.0000,0.0000,600.0000,36.9553,33.9129,29.5601,33.9161,0.0000,393743.6300,0.0000,0.0000,591.6830,55,393743.6300
9,1614.8042,2229.2304,308.3610,308.3610,62.1800,0.0000,62.1800,30.8361,0.0000,0.0000,600.0000,36.6009,33.7071,29.5601,33.7106,0.0000,373080.2800,0.0000,0.0000,583.3500,52,373080.2800
10,1614.8042,2229.2304,300.0280,300.0280,59.6448,0.0000,59.6448,30.0028,0.0000,0.0000,600.0000,36.3544,33.5567,29.5601,33.5593,0.0000,357869.0700,0.0000,0.0000,550.0180,52,357869.0700
11,1614.8042,2229.2304,300.0280,300.0280,58.5677,0.0000,58.5677,30.0028,0.0000,0.0000,600.0000,36.2633,33.4939,29.5601,33.4950,0.0000,351406.3000,0.0000,0.0000,533.3520,52,351406.3000
12,1614.8042,2229.2304,300.0280,300.0280,58.1463,0.0000,58.1463,30.0028,0.0000,0.0000,600.0000,36.2285,33.4694,29.5601,33.4699,0.0000,348877.5500,0.0000,0.0000,516.6860,52,348877.5500
13,1614.8042,2229.2304,300.0280,300.0280,57.9838,0.0000,57.9838,30.0028,0.0000,0.0000,600.0000,36.2152,33.4600,29.5601,33.4602,0.0000,347902.6000,0.0000,0.0000,491.6870,50,347902.6000
14,1614.8042,2229.2304,283.3620,283.3620,55.8812,0.0000,55.8812,28.3362,0.0000,0.0000,600.0000,35.9760,33.3326,29.5601,33.3347,0.0000,335286.9900,0.0000,0.0000,483.3540,50,335286.9900
15,1614.8042,2229.2304,266.6960,266.6960,52.8554,0.0000,52.8554,26.6696,0.0000,0.0000,600.0000,35.6563,33.1511,29.5601,33.1541,0.0000,317132.4400,0.0000,0.0000,475.0210,50,317132.4400
16,1614.8042,2229.2304,250.0300,250.0300,49.4618,0.0000,49.4618,25.0030,0.0000,0.0000,600.0000,35.3061,32.9482,29.5601,32.9516,0.0000,296770.9100,0.0000,0.0000,466.6880,50,296770.9100
17,1614.8042,2229.2304,1000.0000,1000.0000,139.7717,0.0000,139.7717,100.0000,0.0000,0.0000,600.0000,45.7101,38.4315,29.5601,38.3408,0.0000,838629.9500,0.0000,0.0000,458.3550,48,838629.9500
18,1614.8042,2229.2304,1000.0000,1000.0000,182.4558,0.0000,182.4558,100.0000,0.0000,0.0000,600.0000,49.4281,40.9309,29.5601,40.8880,0.0000,1094734.9000,0.0000,0.0000,450.0220,48,1094734.9000
19,1614.8042,2229.2304,1000.0000,1000.0000,199.4462,0.0000,199.4462,100.0000,0.0000,0.0000,600.0000,50.8371,41.9190,29.5601,41.9019,0.0000,1196677.1000,0.0000,0.0000,441.6890,48,1196677.1000
20,1614.8042,2229.2304,1000.0000,1000.0000,206.0170,22.2222,228.2392,100.0000,0.0000,0.0000,600.0000,51.3772,42.3006,29.5601,42.2940,30.0000,1236101.9000,133333.3300,0.0000,441.6890,48,1236101.9000
21,1614.8042,2229.2304,1000.0000,1000.0000,208.5449,50.0000,258.5449,100.0000,0.0000,0.0000,600.0000,51.5846,42.4474,29.5601,42.4449,97.5000,1251269.5000,300000.0000,0.0000,441.6890,48,1251269.5000
22,1614.8042,2229.2304,1000.0000,1000.0000,209.5165,50.0000,259.5165,100.0000,0.0000,0.0000,600.0000,51.6643,42.5038,29.5601,42.5029,165.0000,1257099.2000,300000.0000,0.0000,425.0230,48,1257099.2000
23,1614.8042,2229.2304,1000.0000,1000.0000,209.8899,50.0000,259.8899,100.0000,0.0000,0.0000,600.0000,51.6949,42.5255,29.5601,42.5251,232.5000,1259339.4000,300000.0000,0.0000,425.0230,48,1259339.4000
24,1614.8042,2229.2304,583.3500,583.3500,159.0303,50.0000,209.0303,58.3350,0.0000,0.0000,600.0000,45.8556,39.4390,29.5601,39.4901,300.0000,954181.6900,300000.0000,0.0000,416.6900,48,954181.6900
25,1614.8042,2229.2304,416.6900,416.6900,114.6436,0.0000,114.6436,41.6690,0.0000,0.0000,600.0000,41.4271,36.7968,29.5601,36.8413,300.0000,687861.6400,0.0000,0.0000,416.6900,55,687861.6400
26,1614.8042,2229.2304,441.6890,441.6890,98.5434,0.0000,98.5434,44.1689,0.0000,0.0000,600.0000,40.1497,35.8644,29.5601,35.8806,300.0000,591260.3500,0.0000,0.0000,441.6890,55,591260.3500
27,1614.8042,2229.2304,475.0210,475.0210,96.5491,0.0000,96.5491,47.5021,0.0000,0.0000,600.0000,40.1228,35.7595,29.5601,35.7615,300.0000,579294.4100,0.0000,0.0000,475.0210,55,579294.4100
28,1614.8042,2229.2304,500.0200,500.0200,197.3764,0.0000,197.3764,50.0020,0.0000,0.0000,600.0000,32.5883,26.6273,15.8217,26.7784,300.0000,1184258.6000,0.0000,0.0000,500.0200,55,1184258.6000
29,1614.8042,2229.2304,533.3520,533.3520,51.2920,0.0000,51.2920,53.3352,0.0000,0.0000,600.0000,37.2164,33.1665,29.1368,33.0608,300.0000,307752.2200,0.0000,0.0000,533.3520,65,307752.2200
30,1614.8042,2229.2304,541.6850,541.6850,88.8314,0.0000,88.8314,54.1685,0.0000,0.0000,600.0000,39.8319,35.3387,29.5470,35.3010,300.0000,532988.6600,0.0000,0.0000,541.6850,65,532988.6600
31,1614.8042,2229.2304,550.0180,550.0180,103.2682,0.0000,103.2682,55.0018,0.0000,0.0000,600.0000,41.0089,36.1770,29.5597,36.1625,300.0000,619609.1700,0.0000,0.0000,550.0180,65,619609.1700
32,1614.8042,2229.2304,558.3510,558.3510,207.9925,0.0000,207.9925,55.8351,0.0000,0.0000,600.0000,33.7168,27.2647,15.8217,27.4119,300.0000,1247954.7000,0.0000,0.0000,558.3510,65,1247954.7000
33,1614.8042,2229.2304,566.6840,566.6840,60.1392,0.0000,60.1392,56.6684,0.0000,0.0000,600.0000,38.0941,33.6927,29.1368,33.5888,300.0000,360835.0000,0.0000,0.0000,566.6840,80,360835.0000
34,1614.8042,2229.2304,591.6830,591.6830,98.7573,0.0000,98.7573,59.1683,0.0000,0.0000,600.0000,40.8571,35.9321,29.5470,35.8933,300.0000,592543.9600,0.0000,0.0000,591.6830,80,592543.9600
35,1614.8042,2229.2304,625.0150,625.0150,116.8257,0.0000,116.8257,62.5015,0.0000,0.0000,600.0000,42.4363,36.9897,29.5597,36.9716,300.0000,700954.4700,0.0000,0.0000,625.0150,80,700954.4700
36,1614.8042,2229.2304,650.0140,650.0140,127.0942,0.0000,127.0942,65.0014,0.0000,0.0000,600.0000,43.3855,37.5946,29.5600,37.5843,300.0000,762565.3000,0.0000,0.0000,650.0140,80,762565.3000
37,1614.8042,2229.2304,683.3460,683.3460,135.4056,0.0000,135.4056,68.3346,0.0000,0.0000,600.0000,44.2084,38.0886,29.5601,38.0803,300.0000,812433.6900,0.0000,0.0000,683.3460,90,812433.6900
