scenario,hour,price_gbp_per_mwh
baseline_synthetic,0,60
baseline_synthetic,1,55
baseline_synthetic,2,52
baseline_synthetic,3,50
baseline_synthetic,4,48
baseline_synthetic,5,48
baseline_synthetic,6,55
baseline_synthetic,7,65
baseline_synthetic,8,80
baseline_synthetic,9,90
baseline_synthetic,10,95
baseline_synthetic,11,100
baseline_synthetic,12,98
baseline_synthetic,13,95
baseline_synthetic,14,110
baseline_synthetic,15,120
baseline_synthetic,16,130
baseline_synthetic,17,140
baseline_synthetic,18,135
baseline_synthetic,19,120
baseline_synthetic,20,100
baseline_synthetic,21,90
baseline_synthetic,22,80
baseline_synthetic,23,70
low_flat_day,0,72
low_flat_day,1,70
low_flat_day,2,69
low_flat_day,3,68
low_flat_day,4,68
low_flat_day,5,69
low_flat_day,6,72
low_flat_day,7,76
low_flat_day,8,80
low_flat_day,9,82
low_flat_day,10,84
low_flat_day,11,85
low_flat_day,12,84
low_flat_day,13,82
low_flat_day,14,81
low_flat_day,15,83
low_flat_day,16,86
low_flat_day,17,89
low_flat_day,18,88
low_flat_day,19,84
low_flat_day,20,80
low_flat_day,21,77
low_flat_day,22,75
low_flat_day,23,73
evening_peak_day,0,48
evening_peak_day,1,45
evening_peak_day,2,43
evening_peak_day,3,42
evening_peak_day,4,41
evening_peak_day,5,45
evening_peak_day,6,58
evening_peak_day,7,72
evening_peak_day,8,82
evening_peak_day,9,88
evening_peak_day,10,86
evening_peak_day,11,80
evening_peak_day,12,74
evening_peak_day,13,72
evening_peak_day,14,80
evening_peak_day,15,105
evening_peak_day,16,140
evening_peak_day,17,185
evening_peak_day,18,210
evening_peak_day,19,190
evening_peak_day,20,145
evening_peak_day,21,105
evening_peak_day,22,78
evening_peak_day,23,60
high_volatility_day,0,25
high_volatility_day,1,20
high_volatility_day,2,18
high_volatility_day,3,15
high_volatility_day,4,12
high_volatility_day,5,18
high_volatility_day,6,40
high_volatility_day,7,90
high_volatility_day,8,130
high_volatility_day,9,160
high_volatility_day,10,145
high_volatility_day,11,90
high_volatility_day,12,60
high_volatility_day,13,40
high_volatility_day,14,50
high_volatility_day,15,100
high_volatility_day,16,180
high_volatility_day,17,260
high_volatility_day,18,220
high_volatility_day,19,160
high_volatility_day,20,90
high_volatility_day,21,55
high_volatility_day,22,35
high_volatility_day,23,25
negative_midday_day,0,70
negative_midday_day,1,62
negative_midday_day,2,55
negative_midday_day,3,50
negative_midday_day,4,48
negative_midday_day,5,52
negative_midday_day,6,65
negative_midday_day,7,78
negative_midday_day,8,68
negative_midday_day,9,35
negative_midday_day,10,10
negative_midday_day,11,-5
negative_midday_day,12,-10
negative_midday_day,13,0
negative_midday_day,14,25
negative_midday_day,15,70
negative_midday_day,16,115
negative_midday_day,17,155
negative_midday_day,18,165
negative_midday_day,19,135
negative_midday_day,20,100
negative_midday_day,21,82
negative_midday_day,22,75
negative_midday_day,23,70
