Time_Slot_EXT,P_IT_Total_kW,P_Grid_Cooling_kW,P_Grid_Other_kW,E_TES_kWh,Inflexible_Load_CPU,Flexible_Load_CPU,Total_CPU_Load
1,733.3440,0.0000,73.3344,500.0000,0.2800,0.4000,0.6800
2,542.3512,66.3919,54.2351,460.0000,0.2700,0.1808,0.4508
3,609.4441,101.5740,60.9444,460.0000,0.2600,0.2713,0.5313
4,375.0250,82.5742,37.5025,460.0000,0.2500,0.0000,0.2500
5,531.9150,88.6525,53.1915,460.0000,0.2500,0.1883,0.4383
6,358.3590,82.9026,35.8359,460.0000,0.2300,0.0000,0.2300
7,429.3765,98.8238,42.9377,460.0000,0.2100,0.1052,0.3152
8,325.0270,81.9630,32.5027,460.0000,0.1900,0.0000,0.1900
9,514.6861,104.7777,51.4686,460.0000,0.1700,0.2476,0.4176
10,300.0280,104.7051,30.0028,460.0000,0.1600,0.0000,0.1600
11,482.5094,107.8073,48.2509,460.0000,0.1600,0.2190,0.3790
12,472.5211,117.8454,47.2521,460.0000,0.1600,0.2070,0.3670
13,461.6882,116.6218,46.1688,460.0000,0.1600,0.1940,0.3540
14,546.0182,117.1110,54.6018,460.0000,0.1400,0.3152,0.4552
15,534.2686,115.0621,53.4269,460.0000,0.1200,0.3211,0.4411
16,546.6848,123.3030,54.6685,460.0000,0.1000,0.3560,0.4560
17,503.6865,187.9991,50.3687,527.5000,0.0800,0.3244,0.4044
18,522.5191,221.2581,52.2519,595.0000,0.0700,0.3570,0.4270
19,519.0703,199.2749,51.9070,662.5000,0.0600,0.3629,0.4229
20,860.4238,193.4040,86.0424,730.0000,0.0600,0.7725,0.8325
21,702.0370,167.0062,70.2037,797.5000,0.0600,0.5824,0.6424
22,749.3025,174.8837,74.9302,865.0000,0.0700,0.6292,0.6992
23,505.2625,134.2104,50.5263,932.5000,0.0900,0.3163,0.4063
24,716.5651,169.4275,71.6565,1000.0000,0.1000,0.5599,0.6599
25,266.6960,107.0323,26.6696,1000.0000,0.1200,0.0000,0.1200
26,591.6830,112.3404,59.1683,1000.0000,0.1400,0.3700,0.5100
27,475.0210,117.3307,47.5021,1000.0000,0.1600,0.2100,0.3700
28,500.0200,119.2436,50.0020,1000.0000,0.1800,0.2200,0.4000
29,533.3520,121.3135,53.3352,1000.0000,0.2000,0.2400,0.4400
30,541.6850,123.7835,54.1685,1000.0000,0.2100,0.2400,0.4500
31,550.0180,127.2573,55.0018,1000.0000,0.2200,0.2400,0.4600
32,558.3510,133.0145,55.8351,1000.0000,0.2300,0.2400,0.4700
33,566.6840,139.1322,56.6684,1000.0000,0.2400,0.2400,0.4800
34,591.6830,143.6263,59.1683,1000.0000,0.2600,0.2500,0.5100
35,625.0150,146.5644,62.5015,1000.0000,0.2900,0.2600,0.5500
36,650.0140,143.6600,65.0014,1000.0000,0.3100,0.2700,0.5800
37,683.3460,141.7311,68.3346,1000.0000,0.3400,0.2800,0.6200
38,666.6800,139.6300,66.6680,1000.0000,0.3500,0.2500,0.6000
39,658.3470,137.2057,65.8347,1000.0000,0.3600,0.2300,0.5900
40,650.0140,136.3564,65.0014,1000.0000,0.3700,0.2100,0.5800
41,633.3480,134.1891,63.3348,1000.0000,0.3700,0.1900,0.5600
42,633.3480,128.7544,63.3348,1000.0000,0.3800,0.1800,0.5600
43,633.3480,116.3830,63.3348,1000.0000,0.3900,0.1700,0.5600
44,633.3480,114.5626,63.3348,1000.0000,0.4000,0.1600,0.5600
45,540.6850,110.9352,54.0685,1000.0000,0.4200,0.0288,0.4488
46,539.5184,114.3636,53.9518,1000.0000,0.4100,0.0374,0.4474
47,500.0200,124.2222,50.0020,1000.0000,0.4000,0.0000,0.4000
48,491.6870,117.8062,49.1687,1000.0000,0.3900,0.0000,0.3900
49,595.2662,133.5572,59.5266,1000.0000,0.4000,0.1143,0.5143
50,491.6870,152.3635,49.1687,1000.0000,0.3900,0.0000,0.3900
51,557.3510,194.7652,55.7351,1000.0000,0.3900,0.0788,0.4688
52,558.7677,201.7505,55.8768,1000.0000,0.3800,0.0905,0.4705
53,868.6490,180.2964,86.8649,1000.0000,0.3600,0.4824,0.8424
54,1000.0000,182.3723,100.0000,1000.0000,0.3600,0.6400,1.0000
55,814.8636,135.8106,81.4864,1000.0000,0.3500,0.4278,0.7778
56,1000.0000,166.6667,100.0000,1000.0000,0.3500,0.6500,1.0000
57,517.0662,144.3554,51.7066,1000.0000,0.3500,0.0705,0.4205
58,841.2928,143.4891,84.1293,1000.0000,0.3400,0.4695,0.8095
59,666.6800,143.8222,66.6680,1000.0000,0.3300,0.2700,0.6000
60,658.3470,142.1451,65.8347,1000.0000,0.3200,0.2700,0.5900
61,666.6800,140.6687,66.6680,1000.0000,0.3300,0.2700,0.6000
62,658.3470,139.5771,65.8347,1000.0000,0.3400,0.2500,0.5900
63,650.0140,136.9152,65.0014,1000.0000,0.3500,0.2300,0.5800
64,650.0140,132.7216,65.0014,1000.0000,0.3700,0.2100,0.5800
65,641.6810,70.2320,64.1681,916.6667,0.4000,0.1700,0.5700
66,652.0973,67.5440,65.2097,833.3333,0.3700,0.2125,0.5825
67,559.5629,43.2605,55.9563,750.0000,0.3300,0.1415,0.4715
68,623.8031,53.9672,62.3803,666.6667,0.3000,0.2485,0.5485
69,391.6910,38.8085,39.1691,583.3333,0.2700,0.0000,0.2700
70,526.8523,44.3962,52.6852,500.0000,0.2700,0.1622,0.4322
71,391.6910,58.7885,39.1691,416.6667,0.2700,0.0000,0.2700
72,383.3580,44.7292,38.3358,333.3333,0.2600,0.0000,0.2600
73,546.9106,41.1518,54.6911,250.0000,0.2600,0.1963,0.4563
74,445.0464,24.1744,44.5046,166.6667,0.2600,0.0740,0.3340
75,533.1020,48.5631,53.3102,83.3333,0.2600,0.1797,0.4397
76,548.7681,41.4613,54.8768,-0.0000,0.2600,0.1985,0.4585
77,778.6639,173.0152,77.8664,0.0000,0.2600,0.4744,0.7344
78,625.5266,162.3900,62.5527,0.0000,0.2600,0.2906,0.5506
79,716.5113,167.1275,71.6511,0.0000,0.2500,0.4098,0.6598
80,713.3448,137.4307,71.3345,0.0000,0.2500,0.4060,0.6560
81,763.1761,177.9748,76.3176,0.0000,0.2500,0.4658,0.7158
82,692.0956,176.9054,69.2096,0.0000,0.2600,0.3705,0.6305
83,804.4245,173.4494,80.4424,0.0000,0.2700,0.4953,0.7653
84,808.7577,177.7586,80.8758,0.0000,0.2800,0.4905,0.7705
85,767.0927,184.5097,76.7093,0.0000,0.2900,0.4305,0.7205
86,778.3422,189.2852,77.8342,0.0000,0.2900,0.4440,0.7340
87,814.5907,184.7100,81.4591,0.0000,0.2900,0.4875,0.7775
88,868.3386,182.2057,86.8339,0.0000,0.3000,0.5420,0.8420
89,839.6731,175.3195,83.9673,0.0000,0.3000,0.5076,0.8076
90,843.8396,174.7038,84.3840,0.0000,0.2700,0.5426,0.8126
91,789.0918,161.3186,78.9092,0.0000,0.2500,0.4969,0.7469
92,829.5901,150.3835,82.9590,0.0000,0.2200,0.5755,0.7955
93,757.8309,126.3051,75.7831,0.0000,0.2100,0.4994,0.7094
94,755.8050,125.9675,75.5805,0.0000,0.2100,0.4970,0.7070
95,546.6148,91.1025,54.6615,0.0000,0.2100,0.2459,0.4559
96,602.9695,100.4949,60.2969,0.0000,0.2100,0.3135,0.5235
97,1000.0000,44.4427,26.6656,0.0000,0.6800,0.3200,1.0000
98,1000.0000,48.6092,29.1655,0.0000,0.6500,0.3500,1.0000
99,781.4254,16.3466,9.8079,0.0000,0.6200,0.1177,0.7377
100,865.0054,34.4431,20.6658,0.0000,0.5900,0.2480,0.8380
101,951.9249,73.4665,31.8577,27.5000,0.5600,0.3823,0.9423
102,857.6643,88.7749,23.2649,95.0000,0.5500,0.2792,0.8292
103,720.4858,68.6895,11.2137,162.5000,0.5300,0.1346,0.6646
104,630.6253,56.4904,3.8942,230.0000,0.5100,0.0467,0.5567
105,959.1810,112.6385,37.5831,297.5000,0.5000,0.4510,0.9510
106,550.0180,50.0000,0.0000,365.0000,0.4600,0.0000,0.4600
107,734.9979,83.6077,20.1646,432.5000,0.4400,0.2420,0.6820
108,516.6860,50.0000,0.0000,500.0000,0.4200,0.0000,0.4200
