timestamp_utc,timestamp_local,local_date,source_period,settlement_price_gbp_per_mwh,optimisation_price_gbp_per_mwh,inflexible_cpu,flexible_cpu_processed,total_cpu,p_it_total_kw,p_grid_it_kw,p_ups_charge_kw,p_ups_discharge_kw,p_chiller_hvac_kw,p_chiller_tes_kw,q_tes_charge_kw,q_tes_discharge_kw,grid_import_kw,settlement_cost_gbp,state_start_ups_energy_kwh,state_start_tes_energy_kwh,state_start_it_temperature_c,state_start_rack_temperature_c,state_start_cold_aisle_temperature_c,state_start_hot_aisle_temperature_c,state_end_ups_energy_kwh,state_end_tes_energy_kwh,state_end_it_temperature_c,state_end_rack_temperature_c,state_end_cold_aisle_temperature_c,state_end_hot_aisle_temperature_c
2025-12-31T00:00:00+00:00,2025-12-31T00:00:00+00:00,2025-12-31,1,83.36,83.36,0.28,0.267,0.547,548.004711306875,548.004711306875,-0,0,147.259759864697,-0,0,0,748.359471171572,15.5958113792156,300,-0,36.1821332623645,30.7329000929488,23,30.7345224064435,300,-0,35.5233526936343,30.3753291595363,23,30.3812707250733
2025-12-31T00:15:00+00:00,2025-12-31T00:15:00+00:00,2025-12-31,1,83.36,83.36,0.27,0.2601,0.5301,533.146812819533,533.146812819533,0,0,141.79384728858,0,-0,0,728.035660108113,15.1722631566531,300,-0,35.5233526936343,30.3753291595363,23,30.3812707250733,300,-0,35.0777327707486,30.1048846666391,23,30.1094564838819
2025-12-31T00:30:00+00:00,2025-12-31T00:30:00+00:00,2025-12-31,1,83.36,83.36,0.26,0.3517,0.6117,604.886725042436,604.886725042436,0,0,150.000814884491,0,-0,0,807.982539926928,16.8383561320772,300,-0,35.0777327707486,30.1048846666391,23,30.1094564838819,300,-0,35.9206386891371,30.5244450871468,23,30.5175805873138
2025-12-31T00:45:00+00:00,2025-12-31T00:45:00+00:00,2025-12-31,1,83.36,83.36,0.25,0.343,0.593,588.446328491355,588.446328491355,0,0,151.640305649381,0,-0,0,793.181634140736,16.5299052554929,300,-0,35.9206386891371,30.5244450871468,23,30.5175805873138,300,-0,35.9873222770861,30.6004820944339,23,30.5991107859756
2025-12-31T01:00:00+00:00,2025-12-31T01:00:00+00:00,2025-12-31,2,79.28,79.28,0.25,0.391,0.641,630.646276857768,630.646276857768,-0,0,158.325375736063,0,-0,0,842.066652593831,16.6897610544097,300,-0,35.9873222770861,30.6004820944339,23,30.5991107859756,300,-0,36.6098511198553,30.9371440321872,23,30.9315524830605
2025-12-31T01:15:00+00:00,2025-12-31T01:15:00+00:00,2025-12-31,2,79.28,79.28,0.23,0.345,0.575,572.621347853949,572.621347853949,-0,0,152.899759167319,0,-0,0,778.616107021268,15.4321712411615,300,-0,36.6098511198553,30.9371440321872,23,30.9315524830605,300,-0,36.0187489830586,30.6572040083772,23,30.661742121096
2025-12-31T01:30:00+00:00,2025-12-31T01:30:00+00:00,2025-12-31,2,79.28,79.28,0.21,0.4035,0.6135,606.469223106177,606.469223106177,-0,0,155.083669897845,0,-0,0,814.647893004022,16.1463212393397,300,-0,36.0187489830586,30.6572040083772,23,30.661742121096,300,-0,36.2875342599162,30.7721724418113,23,30.7703457677481
2025-12-31T01:45:00+00:00,2025-12-31T01:45:00+00:00,2025-12-31,2,79.28,79.28,0.19,0.379,0.569,567.346354308148,567.346354308148,-0,0,150.557012352356,0,-0,0,770.998366660503,15.2811876272112,300,-0,36.2875342599162,30.7721724418113,23,30.7703457677481,300,-0,35.8302149394376,30.5414535160964,23,30.5452397184423
2025-12-31T02:00:00+00:00,2025-12-31T02:00:00+00:00,2025-12-31,3,76.51,76.51,0.17,0.4046,0.5746,572.269681617563,572.269681617563,-0,0,149.068497150949,0,-0,0,774.433178768512,14.8129706268947,300,-0,35.8302149394376,30.5414535160964,23,30.5452397184423,300,-0,35.7374546903059,30.4699723511534,23,30.4712173801159
2025-12-31T02:15:00+00:00,2025-12-31T02:15:00+00:00,2025-12-31,3,76.51,76.51,0.16,0.316,0.476,485.583954348221,485.583954348221,-0,0,135.790936016148,0,-0,0,674.46989036437,12.9009228279445,300,-0,35.7374546903059,30.4699723511534,23,30.4712173801159,300,-0,34.4836113355912,29.7998321838542,23,29.8109378468322
2025-12-31T02:30:00+00:00,2025-12-31T02:30:00+00:00,2025-12-31,3,76.51,76.51,0.16,0.4049,0.5649,563.741775385183,563.741775385183,-0,0,141.062987947639,0,-0,0,757.899763332822,14.4967277231486,300,-0,34.4836113355912,29.7998321838542,23,29.8109378468322,300,-0,35.1317174188468,30.0775212641323,23,30.0731115964713
