scenario,source_code_hash_matches_rerun,source_committed_settlement_cost_gbp,rerun_committed_settlement_cost_gbp,committed_settlement_cost_change_gbp,maximum_committed_numeric_difference,maximum_closing_state_difference,source_closing_workload_cpu_h,rerun_closing_workload_cpu_h,core_workload_unserved_after_lookahead_cpu_h,exact_reproduction_at_tolerance
2025_baseline,False,1485.76531178183,1493.28748309026,7.52217130843019,7.76531355271516,0.021039557239547,0,0,0,False
2025_baseline_reformulated,False,1493.291181342,1493.291181342,0,4.83169060316868e-13,0,0,0,0,True
2025_flex_0p5,True,1478.01685627014,1478.01685627014,-2.27373675443232e-13,4.54747350886464e-12,0,0.286393447161671,0.286393447161671,0,True
2025_flex_1p5,True,1462.04741150676,1462.04741150676,0,4.09272615797818e-12,0,0.898218447161671,0.898218447161671,0,True
2025_optimised,False,1462.56373335303,1470.07220110938,7.50846775635114,300,0.0836428733456387,0.642875,0.642875,0,False
2025_optimised_reformulated,False,1465.69572106245,1465.69572106245,-2.27373675443232e-13,4.09272615797818e-12,0,0.642875,0.642875,0,True
2025_tes_0p5,True,1465.81284978617,1465.81284978617,-6.82121026329696e-13,4.09272615797818e-12,0,0.642875,0.642875,0,True
2025_tes_1p5,True,1465.69572106245,1465.69572106245,-2.27373675443232e-13,4.09272615797818e-12,0,0.642875,0.642875,0,True
2025_ups_0p5,True,1465.70998503734,1465.70998503734,-4.54747350886464e-13,4.09272615797818e-12,0,0.642875,0.642875,0,True
2025_ups_1p5,True,1465.9346201783,1465.9346201783,0,4.09272615797818e-12,0,0.642875,0.642875,3.46944695195361e-18,True
