case_id,date,sample_order,negative_prices_clipped_27h,price_floor_gbp_per_mwh,param,level,price_scenario,negative_prices_clipped_27h_result,price_floor_gbp_per_mwh_result,base_cost_gbp,opt_cost_gbp,saving_gbp,saving_pct,opt_cost_ext_sum_gbp,saving_pct_ext_sum,opt_cost_it_gbp,opt_cost_cooling_gbp,opt_cost_ups_charge_gbp,opt_cost_other_gbp,base_cost_it_gbp,base_cost_cooling_gbp,base_cost_ups_charge_gbp,base_cost_other_gbp,nominal_max_ups_kw,nominal_max_tes_w,price_mean_gbp_per_mwh,price_min_gbp_per_mwh,price_max_gbp_per_mwh,price_std_gbp_per_mwh,negative_price_hours,extension_price_mean_gbp_per_mwh,runtime_s,saving_it_gbp,saving_cooling_gbp,saving_ups_charge_gbp,saving_other_gbp
imrp_20250101,2025-01-01,1,5,0.0,price_day,1,2025-01-01,5.0,0.0,1060.59,1003.87,56.72,5.348,1003.87,5.348,722.11,189.68,26.2,65.44,790.48,204.68,0.0,65.44,0.0,0.0,51.351,0.0,119.64,46.931,0,105.303,7.6,68.37,15.0,-26.2,0.0
imrp_20250102,2025-01-02,2,0,,price_day,2,2025-01-02,,,1950.96,1883.92,67.04,3.436,1883.92,3.436,1297.05,333.18,28.15,133.91,1446.04,371.01,0.0,133.91,0.0,0.0,105.084,75.98,129.99,13.156,0,85.25,2.6,148.99,37.829999999999984,-28.15,0.0
imrp_20250103,2025-01-03,3,0,,price_day,3,2025-01-03,,,2020.58,1959.66,60.92,3.015,1959.66,3.015,1377.98,349.91,10.13,137.49,1498.23,384.87,0.0,137.49,0.0,0.0,107.893,74.85,151.97,21.141,0,105.04,2.4,120.25,34.95999999999998,-10.13,0.0
imrp_20250104,2025-01-04,4,0,,price_day,4,2025-01-04,,,2053.33,2009.74,43.59,2.123,2009.74,2.123,1414.73,363.28,9.73,141.29,1521.57,390.47,0.0,141.29,0.0,0.0,110.88,91.38,138.2,12.007,0,102.24,2.4,106.83999999999992,27.190000000000055,-9.73,0.0
imrp_20250105,2025-01-05,5,0,,price_day,5,2025-01-05,,,1821.25,1704.5,116.75,6.411,1704.5,6.411,1208.57,308.67,29.84,124.56,1350.28,346.42,0.0,124.56,0.0,0.0,97.746,56.04,120.54,19.04,0,52.93,2.3,141.71000000000004,37.75,-29.84,0.0
imrp_20250106,2025-01-06,6,0,,price_day,6,2025-01-06,,,1689.45,1569.3,120.15,7.112,1569.3,7.112,1109.23,271.47,3.18,111.72,1255.34,322.39,0.0,111.72,0.0,0.0,87.676,7.29,126.4,35.025,0,68.673,2.5,146.1099999999999,50.91999999999996,-3.18,0.0
imrp_20250107,2025-01-07,7,0,,price_day,7,2025-01-07,,,1750.82,1660.9,89.92,5.136,1660.9,5.136,1151.31,300.21,57.01,117.96,1298.74,334.12,0.0,117.96,0.0,0.0,92.569,28.1,125.6,26.468,0,90.993,2.3,147.43000000000006,33.910000000000025,-57.01,0.0
imrp_20250108,2025-01-08,8,0,,price_day,2,2025-01-08,,,3198.85,2891.54,307.31,9.607,2891.54,9.607,2089.21,510.6,8.76,212.38,2375.15,611.32,0.0,212.38,0.0,0.0,166.669,85.38,332.1,82.515,0,99.803,2.9,285.94000000000005,100.72000000000003,-8.76,0.0
imrp_20250109,2025-01-09,9,0,,price_day,9,2025-01-09,,,1915.47,1850.48,64.99,3.393,1850.48,3.393,1312.68,326.69,21.58,132.34,1419.18,363.94,0.0,132.34,0.0,0.0,103.857,79.92,129.45,14.538,0,83.583,2.3,106.5,37.25,-21.58,0.0
imrp_20250110,2025-01-10,10,0,,price_day,10,2025-01-10,,,4283.31,3718.15,565.16,13.195,3718.15,13.195,2701.6,647.79,9.55,281.65,3182.6,819.06,0.0,281.65,0.0,0.0,221.03,83.22,550.24,140.473,0,101.337,2.2,481.0,171.26999999999998,-9.55,0.0
imrp_20250111,2025-01-11,11,0,,price_day,11,2025-01-11,,,1999.68,1940.42,59.26,2.963,1940.42,2.963,1375.54,352.41,9.5,136.88,1481.96,380.83,0.0,136.88,0.0,0.0,107.42,84.69,148.95,16.482,0,108.263,2.5,106.42000000000007,28.41999999999996,-9.5,0.0
imrp_20250112,2025-01-12,12,0,,price_day,12,2025-01-12,,,1923.4,1870.07,53.32,2.772,1870.07,2.772,1276.17,328.69,31.18,132.37,1425.59,365.44,0.0,132.37,0.0,0.0,103.878,85.12,129.47,11.684,0,91.727,3.0,149.41999999999985,36.75,-31.18,0.0
imrp_20250113,2025-01-13,13,0,,price_day,13,2025-01-13,,,1897.99,1854.54,43.46,2.29,1854.54,2.29,1307.1,334.41,8.8,130.74,1406.1,361.15,0.0,130.74,0.0,0.0,102.601,85.4,129.71,11.839,0,91.4,3.1,99.0,26.739999999999952,-8.8,0.0
imrp_20250114,2025-01-14,14,0,,price_day,14,2025-01-14,,,2090.82,2013.39,77.43,3.703,2013.39,3.703,1414.03,353.19,0.0,143.22,1549.39,398.21,0.0,143.22,0.0,0.0,112.39,87.82,160.97,20.588,0,96.557,2.9,135.36000000000013,45.01999999999998,0.0,0.0
imrp_20250115,2025-01-15,15,0,,price_day,15,2025-01-15,,,2391.21,2263.33,127.88,5.348,2263.33,5.348,1598.67,396.94,0.0,163.05,1772.68,455.49,0.0,163.05,0.0,0.0,127.954,91.99,202.63,30.39,0,95.367,3.3,174.01,58.55000000000001,0.0,0.0
imrp_20250116,2025-01-16,16,0,,price_day,3,2025-01-16,,,2064.05,1985.96,78.08,3.783,1985.96,3.783,1367.26,351.5,46.2,142.89,1528.62,392.54,0.0,142.89,0.0,0.0,112.132,88.22,152.0,18.306,0,90.333,2.7,161.3599999999999,41.04000000000002,-46.2,0.0
imrp_20250117,2025-01-17,17,0,,price_day,17,2025-01-17,,,2003.02,1943.09,59.92,2.992,1943.09,2.992,1366.93,348.08,9.46,137.22,1484.54,381.26,0.0,137.22,0.0,0.0,107.681,86.56,151.98,17.509,0,100.28,2.8,117.6099999999999,33.18000000000001,-9.46,0.0
imrp_20250118,2025-01-18,18,0,,price_day,18,2025-01-18,,,2009.61,1967.58,42.03,2.091,1967.58,2.091,1373.22,344.9,0.0,138.22,1489.05,382.34,0.0,138.22,0.0,0.0,108.468,93.65,138.72,12.678,0,101.677,2.5,115.82999999999993,37.44,0.0,0.0
imrp_20250119,2025-01-19,19,0,,price_day,19,2025-01-19,,,2179.1,2094.66,84.45,3.875,2094.66,3.875,1480.74,376.35,9.3,148.95,1615.24,414.91,0.0,148.95,0.0,0.0,116.891,94.56,172.32,21.432,0,97.407,2.5,134.5,38.56,-9.3,0.0
imrp_20250120,2025-01-20,20,0,,price_day,20,2025-01-20,,,3688.24,3202.81,485.43,13.161,3202.81,13.161,2307.04,544.88,0.0,246.57,2738.6,703.07,0.0,246.57,0.0,0.0,193.495,93.9,521.4,106.043,0,92.74,2.5,431.55999999999995,158.19000000000005,0.0,0.0
imrp_20250121,2025-01-21,21,0,,price_day,21,2025-01-21,,,3030.98,2691.61,339.37,11.197,2691.61,11.197,1922.04,458.91,0.0,203.38,2249.95,577.65,0.0,203.38,0.0,0.0,159.606,91.45,368.57,75.571,0,97.54,2.5,327.90999999999985,118.73999999999995,0.0,0.0
imrp_20250122,2025-01-22,22,0,,price_day,22,2025-01-22,,,5010.59,4054.33,956.25,19.085,4054.33,19.085,2957.75,675.55,26.59,327.47,3727.79,955.32,0.0,327.47,0.0,0.0,256.985,95.31,897.58,210.712,0,102.943,2.5,770.04,279.7700000000001,-26.59,0.0
imrp_20250123,2025-01-23,23,0,,price_day,4,2025-01-23,,,1959.97,1887.68,72.29,3.688,1887.68,3.688,1354.03,340.12,0.0,136.12,1451.66,372.19,0.0,136.12,0.0,0.0,106.82,90.95,135.8,12.325,0,81.913,2.4,97.63000000000011,32.06999999999999,0.0,0.0
imrp_20250124,2025-01-24,24,0,,price_day,24,2025-01-24,,,1751.04,1618.99,132.05,7.541,1618.99,7.541,1116.59,285.82,37.55,118.06,1300.16,332.82,0.0,118.06,0.0,0.0,92.65,35.68,123.77,26.689,0,65.063,2.8,183.57000000000016,47.0,-37.55,0.0
imrp_20250125,2025-01-25,25,0,,price_day,25,2025-01-25,,,1787.67,1746.2,41.47,2.32,1746.2,2.32,1232.97,315.74,9.52,120.41,1325.8,341.46,0.0,120.41,0.0,0.0,94.495,55.22,138.53,22.892,0,105.86,2.7,92.82999999999993,25.71999999999997,-9.52,0.0
imrp_20250126,2025-01-26,26,0,,price_day,26,2025-01-26,,,1742.63,1609.47,133.16,7.641,1609.47,7.641,1147.46,292.28,39.12,120.43,1291.15,331.05,0.0,120.43,0.0,0.0,94.508,28.45,123.25,23.036,0,46.747,2.7,143.69000000000005,38.77000000000004,-39.12,0.0
imrp_20250127,2025-01-27,27,0,,price_day,27,2025-01-27,,,1775.21,1717.37,57.83,3.258,1717.37,3.258,1217.58,307.28,21.09,120.57,1315.55,339.09,0.0,120.57,0.0,0.0,94.622,39.15,127.79,26.863,0,79.13,2.7,97.97000000000003,31.810000000000002,-21.09,0.0
imrp_20250128,2025-01-28,28,0,,price_day,28,2025-01-28,,,1888.93,1830.28,58.65,3.105,1830.28,3.105,1296.13,321.45,0.0,130.03,1399.1,359.79,0.0,130.03,0.0,0.0,102.043,77.23,126.86,15.724,0,72.24,2.5,102.9699999999998,38.34000000000003,0.0,0.0
imrp_20250129,2025-01-29,29,0,,price_day,29,2025-01-29,,,1835.41,1791.73,43.68,2.38,1791.73,2.38,1260.83,320.44,24.44,125.22,1360.37,349.82,0.0,125.22,0.0,0.0,98.267,64.18,129.91,18.466,0,93.487,2.4,99.53999999999996,29.379999999999995,-24.44,0.0
imrp_20250130,2025-01-30,30,0,,price_day,30,2025-01-30,,,2130.71,2059.1,71.6,3.361,2059.1,3.361,1442.84,360.41,0.0,146.34,1578.63,405.74,0.0,146.34,0.0,0.0,114.844,90.15,159.35,19.661,0,99.553,2.7,135.7900000000002,45.329999999999984,0.0,0.0
imrp_20250131,2025-01-31,31,0,,price_day,5,2025-01-31,,,2283.5,2215.58,67.93,2.975,2215.58,2.975,1561.17,397.8,10.71,156.97,1691.82,434.71,0.0,156.97,0.0,0.0,123.184,97.08,179.15,20.409,0,115.15,2.5,130.64999999999986,36.90999999999997,-10.71,0.0
imrp_20250201,2025-02-01,32,0,,price_day,32,2025-02-01,,,2073.14,2029.44,43.71,2.108,2029.44,2.108,1426.48,366.6,9.58,143.65,1535.63,393.86,0.0,143.65,0.0,0.0,112.732,99.91,138.95,10.28,0,102.683,2.5,109.15000000000009,27.25999999999999,-9.58,0.0
imrp_20250202,2025-02-02,33,0,,price_day,33,2025-02-02,,,2137.09,2086.99,50.1,2.344,2086.99,2.344,1459.05,366.41,0.0,146.68,1583.64,406.77,0.0,146.68,0.0,0.0,115.109,97.37,152.32,14.729,0,104.91,2.5,124.59000000000015,40.35999999999996,0.0,0.0
imrp_20250203,2025-02-03,34,0,,price_day,34,2025-02-03,,,2175.75,2092.64,83.1,3.819,2092.64,3.819,1431.97,360.41,36.87,151.28,1611.01,413.46,0.0,151.28,0.0,0.0,118.715,100.02,163.1,18.886,0,97.267,2.6,179.03999999999996,53.049999999999955,-36.87,0.0
imrp_20250204,2025-02-04,35,0,,price_day,35,2025-02-04,,,2004.22,1943.72,60.51,3.019,1943.72,3.019,1337.55,341.44,26.44,138.35,1484.67,381.21,0.0,138.35,0.0,0.0,108.57,88.31,140.24,14.398,0,91.203,2.6,147.12000000000012,39.76999999999998,-26.44,0.0
imrp_20250205,2025-02-05,36,0,,price_day,36,2025-02-05,,,2187.03,2120.51,66.51,3.041,2120.51,3.041,1444.18,369.85,37.57,150.35,1620.23,416.45,0.0,150.35,0.0,0.0,117.99,89.21,160.42,20.444,0,108.433,2.7,176.04999999999995,46.599999999999966,-37.57,0.0
imrp_20250206,2025-02-06,37,0,,price_day,37,2025-02-06,,,2188.7,2125.2,63.5,2.901,2125.2,2.901,1450.46,376.11,47.97,152.46,1620.34,415.91,0.0,152.46,0.0,0.0,119.64,101.88,163.35,16.42,0,103.8,2.9,169.87999999999988,39.80000000000001,-47.97,0.0
imrp_20250207,2025-02-07,38,0,,price_day,6,2025-02-07,,,2079.98,2037.33,42.65,2.05,2037.33,2.05,1436.67,367.26,9.26,144.18,1540.39,395.41,0.0,144.18,0.0,0.0,113.15,96.61,135.56,11.775,0,100.437,2.6,103.72000000000003,28.150000000000034,-9.26,0.0
imrp_20250208,2025-02-08,39,0,,price_day,39,2025-02-08,,,2198.98,2160.91,38.08,1.731,2160.91,1.731,1522.25,386.92,0.0,150.44,1629.73,418.81,0.0,150.44,0.0,0.0,118.056,91.13,150.05,15.778,0,114.793,2.6,107.48000000000002,31.889999999999986,0.0,0.0
imrp_20250209,2025-02-09,40,0,,price_day,40,2025-02-09,,,2160.08,2115.09,44.99,2.083,2115.09,2.083,1480.14,373.81,0.0,149.31,1600.11,410.66,0.0,149.31,0.0,0.0,117.171,104.65,142.46,10.061,0,102.643,3.0,119.9699999999998,36.85000000000002,0.0,0.0
imrp_20250210,2025-02-10,41,0,,price_day,41,2025-02-10,,,2170.46,2127.92,42.54,1.96,2127.92,1.96,1488.34,374.23,0.0,150.17,1607.38,412.9,0.0,150.17,0.0,0.0,117.848,96.53,141.45,13.491,0,105.173,3.7,119.04000000000019,38.66999999999996,0.0,0.0
imrp_20250211,2025-02-11,42,0,,price_day,42,2025-02-11,,,2290.64,2243.66,46.98,2.051,2243.66,2.051,1571.14,395.47,0.0,158.23,1696.38,436.03,0.0,158.23,0.0,0.0,124.173,102.21,152.13,14.093,0,107.907,3.0,125.24000000000001,40.559999999999945,0.0,0.0
imrp_20250212,2025-02-12,43,0,,price_day,43,2025-02-12,,,2341.13,2287.55,53.58,2.289,2287.55,2.289,1611.13,406.27,0.0,161.77,1733.76,445.6,0.0,161.77,0.0,0.0,126.953,106.48,160.58,15.726,0,112.057,2.7,122.62999999999988,39.33000000000004,0.0,0.0
imrp_20250213,2025-02-13,44,0,,price_day,44,2025-02-13,,,2405.62,2342.09,63.53,2.641,2342.09,2.641,1655.55,412.26,0.0,166.39,1781.45,457.79,0.0,166.39,0.0,0.0,130.573,106.96,160.89,16.373,0,105.463,2.8,125.90000000000009,45.53000000000003,0.0,0.0
