sample_order,case_id,date,next_date_extension,gap_from_previous_days,price_mean_gbp_per_mwh,price_min_gbp_per_mwh,price_max_gbp_per_mwh,price_std_gbp_per_mwh,negative_price_hours,negative_prices_in_27h_original,negative_prices_clipped_27h
1,imrp_20250101,2025-01-01,2025-01-02,,51.350833333333334,0.0,119.64,46.93074622219662,0,5.0,5
2,imrp_20250102,2025-01-02,2025-01-03,1.0,105.08416666666665,75.98,129.99,13.156116421860805,0,0.0,0
3,imrp_20250103,2025-01-03,2025-01-04,1.0,107.89291666666668,74.85,151.97,21.14101276334041,0,0.0,0
4,imrp_20250104,2025-01-04,2025-01-05,1.0,110.88,91.38,138.2,12.006986854883007,0,0.0,0
5,imrp_20250105,2025-01-05,2025-01-06,1.0,97.74624999999999,56.04,120.54,19.039544114924777,0,0.0,0
6,imrp_20250106,2025-01-06,2025-01-07,1.0,87.67583333333334,7.29,126.4,35.02526967736612,0,0.0,0
7,imrp_20250107,2025-01-07,2025-01-08,1.0,92.56916666666666,28.1,125.6,26.467638088280985,0,0.0,0
8,imrp_20250108,2025-01-08,2025-01-09,1.0,166.66875000000002,85.38,332.1,82.51521199716753,0,0.0,0
9,imrp_20250109,2025-01-09,2025-01-10,1.0,103.85708333333334,79.92,129.45,14.53761313488986,0,0.0,0
10,imrp_20250110,2025-01-10,2025-01-11,1.0,221.0295833333333,83.22,550.24,140.47311134991773,0,0.0,0
11,imrp_20250111,2025-01-11,2025-01-12,1.0,107.42041666666667,84.69,148.95,16.482303509918008,0,0.0,0
12,imrp_20250112,2025-01-12,2025-01-13,1.0,103.87833333333333,85.12,129.47,11.684253530095773,0,0.0,0
13,imrp_20250113,2025-01-13,2025-01-14,1.0,102.60083333333334,85.4,129.71,11.839394662406612,0,0.0,0
14,imrp_20250114,2025-01-14,2025-01-15,1.0,112.38999999999999,87.82,160.97,20.58811206335669,0,0.0,0
15,imrp_20250115,2025-01-15,2025-01-16,1.0,127.95416666666667,91.99,202.63,30.390487672497496,0,0.0,0
16,imrp_20250116,2025-01-16,2025-01-17,1.0,112.13208333333334,88.22,152.0,18.306199992344734,0,0.0,0
17,imrp_20250117,2025-01-17,2025-01-18,1.0,107.68083333333334,86.56,151.98,17.508510053843974,0,0.0,0
18,imrp_20250118,2025-01-18,2025-01-19,1.0,108.46791666666667,93.65,138.72,12.67777615198037,0,0.0,0
19,imrp_20250119,2025-01-19,2025-01-20,1.0,116.89125000000001,94.56,172.32,21.43171157274892,0,0.0,0
20,imrp_20250120,2025-01-20,2025-01-21,1.0,193.49458333333334,93.9,521.4,106.04346341552468,0,0.0,0
21,imrp_20250121,2025-01-21,2025-01-22,1.0,159.60625,91.45,368.57,75.57050978018808,0,0.0,0
22,imrp_20250122,2025-01-22,2025-01-23,1.0,256.98541666666665,95.31,897.58,210.71151064071717,0,0.0,0
23,imrp_20250123,2025-01-23,2025-01-24,1.0,106.81958333333331,90.95,135.8,12.32482402821188,0,0.0,0
24,imrp_20250124,2025-01-24,2025-01-25,1.0,92.64958333333334,35.68,123.77,26.688800940838878,0,0.0,0
25,imrp_20250125,2025-01-25,2025-01-26,1.0,94.49458333333332,55.22,138.53,22.892055022643166,0,0.0,0
26,imrp_20250126,2025-01-26,2025-01-27,1.0,94.50791666666667,28.45,123.25,23.03563489089,0,0.0,0
27,imrp_20250127,2025-01-27,2025-01-28,1.0,94.62166666666667,39.15,127.79,26.863081181345443,0,0.0,0
