case_id,date,sample_order,param,level,price_scenario,base_cost_gbp,opt_cost_gbp,saving_gbp,saving_pct,opt_cost_ext_sum_gbp,saving_pct_ext_sum,opt_cost_it_gbp,opt_cost_cooling_gbp,opt_cost_ups_charge_gbp,opt_cost_other_gbp,base_cost_it_gbp,base_cost_cooling_gbp,base_cost_ups_charge_gbp,base_cost_other_gbp,nominal_max_ups_kw,nominal_max_tes_w,price_mean_gbp_per_mwh,price_min_gbp_per_mwh,price_max_gbp_per_mwh,price_std_gbp_per_mwh,negative_price_hours,extension_price_mean_gbp_per_mwh,runtime_s,saving_it_gbp,saving_cooling_gbp,saving_ups_charge_gbp,saving_other_gbp
imrp_20250101,2025-01-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imrp_20250108,2025-01-08,2,price_day,2.0,2025-01-08,3198.85,2891.54,307.31,9.607,2891.54,9.607,2089.21,510.6,8.76,212.38,2375.15,611.32,0.0,212.38,0.0,0.0,166.669,85.38,332.1,82.515,0.0,99.803,2.9,285.94000000000005,100.72000000000003,-8.76,0.0
imrp_20250116,2025-01-16,3,price_day,3.0,2025-01-16,2064.05,1985.96,78.08,3.783,1985.96,3.783,1367.26,351.5,46.2,142.89,1528.62,392.54,0.0,142.89,0.0,0.0,112.132,88.22,152.0,18.306,0.0,90.333,2.7,161.3599999999999,41.04000000000002,-46.2,0.0
imrp_20250123,2025-01-23,4,price_day,4.0,2025-01-23,1959.97,1887.68,72.29,3.688,1887.68,3.688,1354.03,340.12,0.0,136.12,1451.66,372.19,0.0,136.12,0.0,0.0,106.82,90.95,135.8,12.325,0.0,81.913,2.4,97.63000000000011,32.06999999999999,0.0,0.0
imrp_20250131,2025-01-31,5,price_day,5.0,2025-01-31,2283.5,2215.58,67.93,2.975,2215.58,2.975,1561.17,397.8,10.71,156.97,1691.82,434.71,0.0,156.97,0.0,0.0,123.184,97.08,179.15,20.409,0.0,115.15,2.5,130.64999999999986,36.90999999999997,-10.71,0.0
imrp_20250207,2025-02-07,6,price_day,6.0,2025-02-07,2079.98,2037.33,42.65,2.05,2037.33,2.05,1436.67,367.26,9.26,144.18,1540.39,395.41,0.0,144.18,0.0,0.0,113.15,96.61,135.56,11.775,0.0,100.437,2.6,103.72000000000003,28.150000000000034,-9.26,0.0
imrp_20250214,2025-02-14,7,price_day,7.0,2025-02-14,2374.42,2296.72,77.69,3.272,2296.72,3.272,1615.63,404.58,0.0,163.48,1758.9,452.03,0.0,163.48,0.0,0.0,128.292,101.69,169.82,19.624,0.0,103.55,2.4,143.26999999999998,47.44999999999999,0.0,0.0
imrp_20250222,2025-02-22,8,price_day,8.0,2025-02-22,1512.03,1433.89,78.13,5.167,1433.89,5.167,982.31,246.58,25.7,100.8,1122.52,288.71,0.0,100.8,0.0,0.0,79.101,37.9,131.09,27.278,0.0,75.527,2.5,140.21000000000004,42.12999999999997,-25.7,0.0
imrp_20250301,2025-03-01,9,price_day,9.0,2025-03-01,1810.82,1773.14,37.68,2.081,1773.14,2.081,1225.76,318.64,29.43,125.12,1341.52,344.18,0.0,125.12,0.0,0.0,98.188,80.21,125.87,11.996,0.0,100.447,2.8,115.75999999999999,25.54000000000002,-29.43,0.0
imrp_20250308,2025-03-08,10,price_day,10.0,2025-03-08,1517.08,1474.17,42.91,2.829,1474.17,2.829,1018.44,268.35,50.27,105.46,1122.99,288.63,0.0,105.46,0.0,0.0,82.757,58.2,111.28,13.051,0.0,85.453,3.1,104.54999999999995,20.279999999999973,-50.27,0.0
imrp_20250316,2025-03-16,11,price_day,11.0,2025-03-16,1758.17,1705.79,52.38,2.979,1705.79,2.979,1211.43,309.96,21.77,120.98,1302.89,334.3,0.0,120.98,0.0,0.0,94.943,80.24,127.48,11.267,0.0,85.69,3.2,91.46000000000004,24.340000000000032,-21.77,0.0
imrp_20250323,2025-03-23,12,price_day,12.0,2025-03-23,1801.16,1748.18,52.98,2.941,1748.18,2.941,1204.47,309.88,26.99,123.33,1335.42,342.41,0.0,123.33,0.0,0.0,96.783,73.39,124.21,12.347,0.0,86.65,3.5,130.95000000000005,32.53000000000003,-26.99,0.0
imrp_20250401,2025-04-01,13,price_day,13.0,2025-04-01,1636.45,1519.8,116.65,7.128,1519.8,7.128,1055.7,260.12,21.58,114.24,1211.76,310.45,0.0,114.24,0.0,0.0,89.653,58.48,126.99,19.276,0.0,55.87,3.2,156.05999999999995,50.329999999999984,-21.58,0.0
imrp_20250408,2025-04-08,14,price_day,14.0,2025-04-08,1562.2,1484.32,77.88,4.985,1484.32,4.985,1011.97,255.08,24.7,108.34,1157.04,296.82,0.0,108.34,0.0,0.0,85.024,67.32,125.13,18.66,0.0,75.72,3.4,145.06999999999994,41.73999999999998,-24.7,0.0
imrp_20250415,2025-04-15,15,price_day,15.0,2025-04-15,1548.41,1490.02,58.39,3.771,1490.02,3.771,1008.38,263.03,43.83,107.26,1146.9,294.26,0.0,107.26,0.0,0.0,84.171,65.89,104.64,10.901,0.0,65.593,3.0,138.5200000000001,31.230000000000018,-43.83,0.0
imrp_20250423,2025-04-23,16,price_day,16.0,2025-04-23,1625.31,1564.43,60.88,3.746,1564.43,3.746,1070.28,273.38,27.08,112.24,1203.81,309.26,0.0,112.24,0.0,0.0,88.081,72.21,119.07,14.302,0.0,73.33,2.9,133.52999999999997,35.879999999999995,-27.08,0.0
imrp_20250430,2025-04-30,17,price_day,17.0,2025-04-30,1454.66,1407.97,46.69,3.21,1407.97,3.21,958.84,243.56,22.5,101.1,1077.21,276.36,0.0,101.1,0.0,0.0,79.336,60.87,105.03,12.777,0.0,73.907,2.9,118.37,32.80000000000001,-22.5,0.0
imrp_20250508,2025-05-08,18,price_day,18.0,2025-05-08,1571.33,1519.57,51.76,3.294,1519.57,3.294,1035.67,263.55,24.72,109.24,1163.39,298.71,0.0,109.24,0.0,0.0,85.723,67.44,113.87,13.745,0.0,77.65,3.1,127.72000000000003,35.15999999999997,-24.72,0.0
imrp_20250515,2025-05-15,19,price_day,19.0,2025-05-15,1485.32,1446.42,38.9,2.619,1446.42,2.619,983.5,251.38,24.28,102.12,1100.46,282.74,0.0,102.12,0.0,0.0,80.142,62.48,101.74,12.046,0.0,73.7,2.8,116.96000000000004,31.360000000000014,-24.28,0.0
imrp_20250522,2025-05-22,20,price_day,20.0,2025-05-22,1595.38,1558.62,36.77,2.305,1558.62,2.305,1068.81,272.92,26.29,109.96,1182.0,303.43,0.0,109.96,0.0,0.0,86.292,69.97,107.42,11.501,0.0,82.147,2.9,113.19000000000005,30.50999999999999,-26.29,0.0
imrp_20250530,2025-05-30,21,price_day,21.0,2025-05-30,1177.98,1144.35,33.63,2.855,1144.35,2.855,784.49,191.52,0.0,77.12,875.47,225.39,0.0,77.12,0.0,0.0,60.518,25.12,111.59,27.956,0.0,81.96,2.6,90.98000000000002,33.869999999999976,0.0,0.0
imrp_20250606,2025-06-06,22,price_day,22.0,2025-06-06,1392.35,1325.13,67.22,4.828,1325.13,4.828,904.82,222.2,35.53,94.95,1032.72,264.68,0.0,94.95,0.0,0.0,74.515,47.26,103.36,19.991,0.0,80.273,3.4,127.89999999999998,42.48000000000002,-35.53,0.0
