sample_order,case_id,date,next_date_extension,gap_from_previous_days,price_mean_gbp_per_mwh,price_min_gbp_per_mwh,price_max_gbp_per_mwh,price_std_gbp_per_mwh,negative_price_hours
1,imrp_20250101,2025-01-01,2025-01-02,,50.629999999999995,-4.97,119.64,47.74029543617564,5
2,imrp_20250108,2025-01-08,2025-01-09,7.0,166.66875000000002,85.38,332.1,82.51521199716753,0
3,imrp_20250116,2025-01-16,2025-01-17,8.0,112.13208333333334,88.22,152.0,18.306199992344734,0
4,imrp_20250123,2025-01-23,2025-01-24,7.0,106.81958333333331,90.95,135.8,12.32482402821188,0
5,imrp_20250131,2025-01-31,2025-02-01,8.0,123.18416666666667,97.08,179.15,20.409309541780736,0
6,imrp_20250207,2025-02-07,2025-02-08,7.0,113.14958333333334,96.61,135.56,11.77508544879352,0
7,imrp_20250214,2025-02-14,2025-02-15,7.0,128.2925,101.69,169.82,19.62366157856377,0
8,imrp_20250222,2025-02-22,2025-02-23,8.0,79.10083333333334,37.9,131.09,27.27754783649407,0
9,imrp_20250301,2025-03-01,2025-03-02,7.0,98.1875,80.21,125.87,11.995760796353574,0
10,imrp_20250308,2025-03-08,2025-03-09,7.0,82.75666666666666,58.2,111.28,13.050850759837672,0
11,imrp_20250316,2025-03-16,2025-03-17,8.0,94.94291666666665,80.24,127.48,11.266992899307942,0
12,imrp_20250323,2025-03-23,2025-03-24,7.0,96.78333333333335,73.39,124.21,12.346930680222606,0
13,imrp_20250401,2025-04-01,2025-04-02,9.0,89.65333333333332,58.48,126.99,19.276356127534985,0
14,imrp_20250408,2025-04-08,2025-04-09,7.0,85.02416666666666,67.32,125.13,18.659961574778823,0
15,imrp_20250415,2025-04-15,2025-04-16,7.0,84.17125,65.89,104.64,10.901237434537727,0
16,imrp_20250423,2025-04-23,2025-04-24,8.0,88.08083333333333,72.21,119.07,14.301642655264777,0
17,imrp_20250430,2025-04-30,2025-05-01,7.0,79.33583333333333,60.87,105.03,12.777335375795518,0
18,imrp_20250508,2025-05-08,2025-05-09,8.0,85.72333333333331,67.44,113.87,13.745451874064463,0
19,imrp_20250515,2025-05-15,2025-05-16,7.0,80.14208333333333,62.48,101.74,12.046417855932203,0
20,imrp_20250522,2025-05-22,2025-05-23,7.0,86.29166666666667,69.97,107.42,11.501082074695795,0
21,imrp_20250530,2025-05-30,2025-05-31,8.0,60.51833333333334,25.12,111.59,27.955924933525072,0
22,imrp_20250606,2025-06-06,2025-06-07,7.0,74.515,47.26,103.36,19.990812264637974,0
23,imrp_20250614,2025-06-14,2025-06-15,8.0,69.51375,7.8,99.06,28.397838798709664,0
24,imrp_20250621,2025-06-21,2025-06-22,7.0,78.33916666666666,17.08,115.33,28.557940214685576,0
25,imrp_20250628,2025-06-28,2025-06-29,7.0,39.3525,-2.21,97.43,33.578856970073694,3
26,imrp_20250706,2025-07-06,2025-07-07,8.0,72.92458333333333,52.33,95.79,13.068439392663619,0
27,imrp_20250713,2025-07-13,2025-07-14,7.0,83.6425,71.52,108.36,11.614898209483657,0
28,imrp_20250720,2025-07-20,2025-07-21,7.0,78.98458333333333,54.34,98.76,11.43267830211811,0
29,imrp_20250728,2025-07-28,2025-07-29,8.0,81.46208333333333,68.7,102.17,9.350543646925324,0
30,imrp_20250804,2025-08-04,2025-08-05,7.0,46.15333333333333,4.75,81.4,26.474079881188608,0
31,imrp_20250812,2025-08-12,2025-08-13,8.0,85.705,68.04,126.17,16.496260939982733,0
32,imrp_20250819,2025-08-19,2025-08-20,7.0,78.32416666666667,64.94,97.07,8.714900514189603,0
33,imrp_20250826,2025-08-26,2025-08-27,7.0,82.8975,63.12,115.32,14.71693815812243,0
34,imrp_20250903,2025-09-03,2025-09-04,8.0,76.68416666666667,51.63,93.45,11.345283130250895,0
35,imrp_20250910,2025-09-10,2025-09-11,7.0,73.01541666666667,22.67,104.58,20.08137714798769,0
36,imrp_20250918,2025-09-18,2025-09-19,8.0,49.34125,8.57,103.11,32.230650825016966,0
37,imrp_20250925,2025-09-25,2025-09-26,7.0,81.15625,65.57,106.81,13.661268490547771,0
38,imrp_20251002,2025-10-02,2025-10-03,7.0,75.18458333333332,24.24,110.1,17.432995052286785,0
39,imrp_20251010,2025-10-10,2025-10-11,8.0,86.14208333333333,72.0,116.38,13.417755332384111,0
40,imrp_20251017,2025-10-17,2025-10-18,7.0,89.46166666666666,73.5,124.21,14.626800933750193,0
41,imrp_20251025,2025-10-25,2025-10-26,8.0,15.235416666666666,-0.37,66.61,19.299623048815977,3
42,imrp_20251102,2025-11-02,2025-11-03,8.0,58.1575,43.12,103.71,18.932302917236456,0
43,imrp_20251109,2025-11-09,2025-11-10,7.0,80.59375,69.49,104.07,9.719239001631422,0
44,imrp_20251117,2025-11-17,2025-11-18,8.0,80.07000000000001,52.22,114.36,16.566688715612422,0
45,imrp_20251124,2025-11-24,2025-11-25,7.0,87.21708333333333,62.76,112.07,14.884134024514902,0
46,imrp_20251201,2025-12-01,2025-12-02,7.0,72.92291666666667,45.74,91.85,15.035296660183404,0
47,imrp_20251209,2025-12-09,2025-12-10,8.0,66.83416666666666,32.15,82.52,12.955416793972917,0
48,imrp_20251216,2025-12-16,2025-12-17,7.0,87.77833333333335,65.52,120.82,16.715717320999286,0
49,imrp_20251224,2025-12-24,2025-12-25,8.0,74.53416666666666,48.36,91.94,12.545292914298795,0
50,imrp_20251231,2025-12-31,2026-01-01,7.0,80.865,47.11,96.4,9.991689463415751,0
