Time_Slot_EXT,Total_Optimized_Cost,Optimized_Cost_per_Step,P_Total_kW,P_IT_Total_kW,P_Grid_IT_kW,P_Chiller_HVAC_kW,P_Chiller_TES_kW,P_Grid_Cooling_kW,P_Grid_Other_kW,P_UPS_Charge_kW,P_UPS_Discharge_kW,E_UPS_kWh,T_IT_Celsius,T_Rack_Celsius,T_ColdAisle_Celsius,T_HotAisle_Celsius,E_TES_kWh,Q_Cool_Total_Watts,Q_Charge_TES_Watts,Q_Discharge_TES_Watts,P_IT_Nominal,Price_GBP_per_MWh,Inflexible_Load_CPU_Nom,Flexible_Load_CPU_Nom,Inflexible_Load_CPU,Flexible_Load_CPU,Total_CPU_Load,Optimized_Cost,Nominal_Cost,P_Total_kW_Nominal,Q_Chiller_Direct_Watts,Upward_Flexibility_kW,Downward_Flexibility_kW
1,1851.8776,14.1607,944.0468,733.3440,733.3440,130.1687,7.1997,137.3684,73.3344,0.0000,0.0000,600.0000,33.8794,28.9777,22.0000,28.8339,500.0000,0.0000,0.0000,0.0000,733.3440,60,0.2800,0.4000,0.2800,0.4000,0.6800,14.1607,14.1265,941.7659,0.0000,487.3497,372.6199
2,1851.8776,9.9447,662.9782,542.3512,542.3512,66.3919,0.0000,66.3919,54.2351,0.0000,0.0000,600.0000,33.3656,28.8097,22.0000,27.3941,460.0000,542351.1900,0.0000,144000.0000,708.3450,60,0.2700,0.3800,0.2700,0.1808,0.4508,24.1054,13.7766,918.4384,398351.1900,216.8363,653.6885
3,1851.8776,11.5794,771.9625,609.4441,609.4441,101.5740,0.0000,101.5740,60.9444,0.0000,0.0000,600.0000,31.3435,27.4053,22.0000,28.0614,460.0000,609444.0700,0.0000,0.0000,683.3460,60,0.2600,0.3600,0.2600,0.2713,0.5313,35.6848,13.2791,885.2738,609444.0700,336.3757,544.7042
4,1851.8776,7.4265,495.1017,375.0250,375.0250,82.5742,0.0000,82.5742,37.5025,0.0000,0.0000,600.0000,32.1101,28.0423,22.0000,26.9276,460.0000,495445.3100,0.0000,0.0000,658.3470,60,0.2500,0.3400,0.2500,0.0000,0.2500,43.1113,12.7728,851.5233,495445.3100,70.0700,821.5650
5,1851.8776,9.2642,673.7591,531.9150,531.9150,88.6525,0.0000,88.6525,53.1915,0.0000,0.0000,600.0000,30.4858,26.9337,22.0000,27.2903,460.0000,531915.0400,0.0000,0.0000,633.3480,55,0.2500,0.3100,0.2500,0.1883,0.4383,52.3755,11.1623,811.8020,531915.0400,248.7273,642.9077
6,1851.8776,6.5601,477.0975,358.3590,358.3590,82.9026,0.0000,82.9026,35.8359,0.0000,0.0000,600.0000,30.9612,27.2845,22.0000,26.9472,460.0000,497415.7300,0.0000,0.0000,625.0150,55,0.2300,0.3200,0.2300,0.0000,0.2300,58.9356,10.8857,791.6857,497415.7300,73.1761,839.5692
7,1851.8776,7.8531,571.1380,429.3765,429.3765,98.8238,0.0000,98.8238,42.9377,0.0000,0.0000,600.0000,30.6402,26.9632,22.0000,27.8973,460.0000,592942.8400,0.0000,0.0000,608.3490,55,0.2100,0.3200,0.2100,0.1052,0.3152,66.7888,10.8897,791.9815,592942.8400,188.3269,745.5287
8,1851.8776,6.0430,439.4927,325.0270,325.0270,81.9630,0.0000,81.9630,32.5027,0.0000,0.0000,600.0000,31.8597,27.8804,22.0000,26.8911,460.0000,491777.7800,0.0000,0.0000,591.6830,55,0.1900,0.3200,0.1900,0.0000,0.1900,72.8318,10.5804,769.4838,491777.7800,77.7918,877.1740
9,1851.8776,8.7221,670.9324,514.6861,514.6861,104.7777,0.0000,104.7777,51.4686,0.0000,0.0000,600.0000,30.6337,26.9140,22.0000,28.2526,460.0000,628666.1700,0.0000,0.0000,583.3500,52,0.1700,0.3300,0.1700,0.2476,0.4176,81.5539,10.4404,803.1098,628666.1700,330.3418,645.7343
10,1851.8776,5.6516,434.7359,300.0280,300.0280,104.7051,0.0000,104.7051,30.0028,0.0000,0.0000,600.0000,32.6723,28.2525,22.0000,28.2483,460.0000,628230.8600,0.0000,0.0000,550.0180,52,0.1600,0.3000,0.1600,0.0000,0.1600,87.2055,9.2898,714.6010,628230.8600,104.7004,881.9308
11,1851.8776,8.3014,638.5676,482.5094,482.5094,107.8073,0.0000,107.8073,48.2509,0.0000,0.0000,600.0000,32.7058,28.2514,22.0000,28.4334,460.0000,646843.8500,0.0000,0.0000,533.3520,52,0.1600,0.2800,0.1600,0.2190,0.3790,95.5069,9.0008,692.3658,646843.8500,308.5321,678.0991
12,1851.8776,8.2890,637.6186,472.5211,472.5211,117.8454,0.0000,117.8454,47.2521,0.0000,0.0000,600.0000,33.1064,28.4435,22.0000,29.0324,460.0000,707072.4500,0.0000,0.0000,516.6860,52,0.1600,0.2600,0.1600,0.2070,0.3670,103.7959,8.7389,672.2266,707072.4500,307.5831,679.0481
13,1851.8776,7.8060,624.4788,461.6882,461.6882,116.6218,0.0000,116.6218,46.1688,0.0000,0.0000,600.0000,33.9885,29.0312,22.0000,28.9594,460.0000,699730.7900,0.0000,0.0000,491.6870,50,0.1600,0.2300,0.1600,0.1940,0.3540,111.6019,8.0366,642.9300,699730.7900,294.4433,692.1879
14,1851.8776,8.9716,717.7310,546.0182,546.0182,117.1110,0.0000,117.1110,54.6018,0.0000,0.0000,600.0000,33.8848,28.9599,22.0000,28.9886,460.0000,702666.0900,0.0000,0.0000,483.3540,50,0.1400,0.2400,0.1400,0.3152,0.4552,120.5735,7.8999,631.9890,702666.0900,406.0328,598.9357
15,1851.8776,8.7845,702.7576,534.2686,534.2686,115.0621,0.0000,115.0621,53.4269,0.0000,0.0000,600.0000,33.9048,28.9865,22.0000,28.8663,460.0000,690372.7000,0.0000,0.0000,475.0210,50,0.1200,0.2500,0.1200,0.3211,0.4411,129.3580,7.7638,621.1067,690372.7000,409.3920,613.9091
16,1851.8776,9.0582,724.6563,546.6848,546.6848,123.3030,0.0000,123.3030,54.6685,0.0000,0.0000,600.0000,33.8258,28.8746,22.0000,29.3581,460.0000,739818.0900,0.0000,0.0000,466.6880,50,0.1000,0.2600,0.1000,0.3560,0.4560,138.4162,7.6297,610.3741,739818.0900,449.6233,592.0104
