date,period,offer_gbp_mwh,bid_gbp_mwh
2025-01-01,1,87.8,-4.82
2025-01-01,2,123.03,7.55
2025-01-01,3,91.92,0.52
2025-01-01,4,127.17,2.01
2025-01-01,5,89.31,25.74
2025-01-01,6,97.1,-21.58
2025-01-01,7,95.68,17.59
2025-01-01,8,121.86,-6.11
2025-01-01,9,90.0,34.45
2025-01-01,10,104.46,24.38
2025-01-01,11,126.79,16.72
2025-01-01,12,126.36,24.99
2025-01-01,13,146.5,-5.92
2025-01-01,14,156.74,11.71
2025-01-01,15,121.58,55.83
2025-01-01,16,117.59,43.1
2025-01-01,17,162.19,24.57
2025-01-01,18,146.2,31.65
2025-01-01,19,142.31,71.94
2025-01-01,20,123.22,64.06
2025-01-01,21,165.08,34.33
2025-01-01,22,113.43,9.66
2025-01-01,23,124.98,46.23
2025-01-01,24,147.62,42.76
2025-01-01,25,145.34,45.37
2025-01-01,26,168.12,65.41
2025-01-01,27,161.3,62.45
2025-01-01,28,168.17,74.43
2025-01-01,29,130.95,50.6
2025-01-01,30,177.21,68.73
2025-01-01,31,172.99,84.31
2025-01-01,32,143.22,69.65
2025-01-01,33,188.35,48.73
2025-01-01,34,169.5,60.8
2025-01-01,35,166.9,71.9
2025-01-01,36,177.28,111.66
2025-01-01,37,165.09,74.27
2025-01-01,38,187.72,41.65
2025-01-01,39,136.27,76.73
2025-01-01,40,138.07,55.98
2025-01-01,41,133.48,29.24
2025-01-01,42,121.15,61.52
2025-01-01,43,119.52,28.65
2025-01-01,44,117.5,1.26
2025-01-01,45,132.3,46.08
2025-01-01,46,147.75,13.85
2025-01-01,47,120.11,2.32
2025-01-01,48,134.92,-3.5
2025-01-02,1,139.48,16.71
2025-01-02,2,118.03,-13.55
2025-01-02,3,102.19,-22.71
2025-01-02,4,88.16,-14.38
2025-01-02,5,110.01,-8.51
2025-01-02,6,129.24,21.13
2025-01-02,7,91.64,-25.08
2025-01-02,8,138.03,-14.56
2025-01-02,9,86.03,-24.77
2025-01-02,10,92.18,-11.61
2025-01-02,11,95.9,-3.57
2025-01-02,12,132.02,48.76
2025-01-02,13,129.64,3.23
2025-01-02,14,95.86,-0.35
2025-01-02,15,142.94,9.27
2025-01-02,16,139.93,9.21
2025-01-02,17,122.23,50.36
2025-01-02,18,155.29,73.39
2025-01-02,19,167.18,30.98
2025-01-02,20,122.85,8.95
2025-01-02,21,145.96,31.62
2025-01-02,22,131.68,35.43
2025-01-02,23,162.49,56.85
2025-01-02,24,140.27,62.03
2025-01-02,25,136.51,49.07
2025-01-02,26,147.59,55.41
2025-01-02,27,142.15,77.55
2025-01-02,28,127.76,36.0
2025-01-02,29,164.19,44.4
2025-01-02,30,161.61,60.53
2025-01-02,31,166.05,48.65
2025-01-02,32,176.65,72.73
2025-01-02,33,187.14,66.43
2025-01-02,34,199.43,104.79
2025-01-02,35,171.23,97.89
2025-01-02,36,198.79,56.91
2025-01-02,37,194.75,109.52
2025-01-02,38,204.66,58.58
2025-01-02,39,181.09,74.02
2025-01-02,40,138.07,50.06
2025-01-02,41,168.85,18.51
2025-01-02,42,170.59,62.63
2025-01-02,43,111.04,16.31
2025-01-02,44,110.11,45.97
2025-01-02,45,110.92,35.59
2025-01-02,46,117.48,40.3
2025-01-02,47,125.46,6.44
2025-01-02,48,91.06,20.86
2025-01-03,1,118.91,2.21
2025-01-03,2,103.17,31.1
2025-01-03,3,123.81,-11.78
2025-01-03,4,138.02,-2.16
2025-01-03,5,109.28,27.25
2025-01-03,6,106.49,7.31
2025-01-03,7,90.91,37.78
2025-01-03,8,100.98,-0.02
2025-01-03,9,77.47,3.26
2025-01-03,10,100.4,25.89
2025-01-03,11,95.37,43.56
2025-01-03,12,115.03,12.71
2025-01-03,13,128.63,-9.77
2025-01-03,14,111.15,24.02
2025-01-03,15,121.92,2.91
2025-01-03,16,148.41,55.25
2025-01-03,17,159.84,63.75
2025-01-03,18,124.09,35.8
2025-01-03,19,150.64,22.21
2025-01-03,20,143.7,54.88
2025-01-03,21,131.87,17.76
2025-01-03,22,177.42,56.57
2025-01-03,23,160.34,35.34
2025-01-03,24,133.07,65.91
2025-01-03,25,119.06,63.08
2025-01-03,26,163.48,58.83
2025-01-03,27,122.37,61.82
2025-01-03,28,153.16,20.75
2025-01-03,29,180.47,45.77
2025-01-03,30,187.02,61.43
2025-01-03,31,138.37,54.91
2025-01-03,32,195.24,103.16
2025-01-03,33,193.08,84.8
2025-01-03,34,179.73,72.28
2025-01-03,35,202.45,56.74
2025-01-03,36,156.94,63.49
2025-01-03,37,161.79,58.23
2025-01-03,38,161.6,50.69
2025-01-03,39,184.94,37.95
2025-01-03,40,162.51,24.47
2025-01-03,41,160.4,30.74
2025-01-03,42,114.06,9.07
2025-01-03,43,109.89,47.13
2025-01-03,44,154.48,33.0
2025-01-03,45,111.97,26.12
2025-01-03,46,109.9,6.29
2025-01-03,47,103.78,25.33
2025-01-03,48,95.39,0.36
2025-01-04,1,126.66,32.72
2025-01-04,2,112.7,-33.04
2025-01-04,3,90.92,-27.56
2025-01-04,4,99.43,-1.45
2025-01-04,5,126.03,5.98
2025-01-04,6,95.48,1.63
2025-01-04,7,112.31,-8.73
2025-01-04,8,92.26,17.43
2025-01-04,9,91.47,-7.16
2025-01-04,10,83.29,13.65
2025-01-04,11,86.43,-2.23
2025-01-04,12,114.8,20.94
2025-01-04,13,126.05,3.38
2025-01-04,14,112.56,-6.95
2025-01-04,15,131.03,-16.69
2025-01-04,16,118.74,8.86
2025-01-04,17,153.97,3.34
2025-01-04,18,146.55,14.7
2025-01-04,19,124.47,39.95
2025-01-04,20,114.94,20.6
2025-01-04,21,153.51,11.99
2025-01-04,22,119.65,8.32
2025-01-04,23,155.24,60.7
2025-01-04,24,115.36,50.53
2025-01-04,25,159.15,3.99
2025-01-04,26,157.77,53.04
2025-01-04,27,116.22,15.11
2025-01-04,28,137.87,32.46
2025-01-04,29,168.12,8.59
2025-01-04,30,157.22,13.59
2025-01-04,31,139.71,68.26
2025-01-04,32,169.63,31.39
2025-01-04,33,148.1,40.49
2025-01-04,34,191.62,88.87
2025-01-04,35,150.8,65.32
2025-01-04,36,141.35,70.14
2025-01-04,37,174.53,44.27
2025-01-04,38,180.82,39.09
2025-01-04,39,131.76,57.99
2025-01-04,40,152.71,36.08
2025-01-04,41,123.25,44.86
2025-01-04,42,111.31,54.61
2025-01-04,43,138.55,24.37
2025-01-04,44,120.97,13.1
2025-01-04,45,142.72,-8.31
2025-01-04,46,122.38,23.95
2025-01-04,47,106.13,-18.88
2025-01-04,48,83.38,-0.43
2025-01-05,1,107.59,-24.84
2025-01-05,2,84.78,-6.19
2025-01-05,3,112.05,-6.46
2025-01-05,4,106.25,2.35
2025-01-05,5,72.98,-26.21
2025-01-05,6,92.8,-21.37
2025-01-05,7,103.66,-8.25
2025-01-05,8,89.9,-12.94
2025-01-05,9,103.07,16.49
2025-01-05,10,90.57,20.83
2025-01-05,11,118.73,-29.23
2025-01-05,12,130.96,-0.02
2025-01-05,13,85.95,6.9
2025-01-05,14,98.25,8.68
2025-01-05,15,94.75,-8.88
2025-01-05,16,148.65,48.39
2025-01-05,17,133.62,33.57
2025-01-05,18,160.18,43.26
2025-01-05,19,155.32,51.62
2025-01-05,20,149.12,-0.09
2025-01-05,21,109.71,9.99
2025-01-05,22,149.25,-3.49
2025-01-05,23,131.48,38.2
2025-01-05,24,112.37,57.79
2025-01-05,25,159.83,26.91
2025-01-05,26,125.34,10.47
2025-01-05,27,166.89,11.77
2025-01-05,28,118.52,61.27
2025-01-05,29,165.73,38.31
2025-01-05,30,158.94,32.84
2025-01-05,31,141.1,71.53
2025-01-05,32,177.03,57.32
2025-01-05,33,149.99,75.69
2025-01-05,34,164.25,81.62
2025-01-05,35,192.94,85.15
2025-01-05,36,175.88,71.81
2025-01-05,37,157.22,56.8
2025-01-05,38,157.22,65.92
2025-01-05,39,181.42,54.3
2025-01-05,40,118.96,21.3
2025-01-05,41,131.79,24.96
2025-01-05,42,114.22,10.34
2025-01-05,43,115.29,24.38
2025-01-05,44,139.26,26.17
2025-01-05,45,97.85,33.72
2025-01-05,46,134.37,23.81
2025-01-05,47,88.73,23.38
2025-01-05,48,126.76,-12.43
2025-01-06,1,133.44,-9.8
2025-01-06,2,98.98,23.62
2025-01-06,3,103.4,22.8
2025-01-06,4,84.05,27.4
2025-01-06,5,88.95,-22.7
2025-01-06,6,87.99,27.44
2025-01-06,7,110.19,-14.45
2025-01-06,8,129.31,-11.01
2025-01-06,9,105.46,-13.23
2025-01-06,10,89.83,24.05
2025-01-06,11,120.18,19.43
2025-01-06,12,96.06,-6.7
2025-01-06,13,104.07,0.98
2025-01-06,14,148.82,-5.72
2025-01-06,15,132.48,2.21
2025-01-06,16,158.32,48.12
2025-01-06,17,162.02,10.11
2025-01-06,18,129.35,29.44
2025-01-06,19,117.73,58.18
2025-01-06,20,147.18,71.61
2025-01-06,21,108.12,37.63
2025-01-06,22,157.85,56.16
2025-01-06,23,132.52,43.77
2025-01-06,24,129.22,69.89
2025-01-06,25,155.93,31.33
2025-01-06,26,142.51,34.36
2025-01-06,27,166.73,56.11
2025-01-06,28,171.8,19.14
2025-01-06,29,127.55,60.54
2025-01-06,30,139.12,30.81
2025-01-06,31,178.07,52.76
2025-01-06,32,189.51,57.68
2025-01-06,33,168.75,78.38
2025-01-06,34,194.02,89.57
2025-01-06,35,205.35,94.22
2025-01-06,36,161.36,66.18
2025-01-06,37,195.57,58.09
2025-01-06,38,166.53,72.33
2025-01-06,39,174.81,87.41
2025-01-06,40,167.65,80.66
2025-01-06,41,130.95,67.84
2025-01-06,42,120.87,13.05
2025-01-06,43,131.71,30.77
2025-01-06,44,132.69,28.93
2025-01-06,45,106.26,26.36
2025-01-06,46,115.46,15.22
2025-01-06,47,99.87,31.91
2025-01-06,48,117.85,2.94
2025-01-07,1,88.33,-4.58
2025-01-07,2,110.09,18.32
2025-01-07,3,98.4,22.62
2025-01-07,4,129.17,-11.72
2025-01-07,5,94.14,-22.77
2025-01-07,6,133.98,22.54
2025-01-07,7,95.46,36.88
2025-01-07,8,89.88,12.45
2025-01-07,9,93.06,-21.11
2025-01-07,10,110.19,-16.54
2025-01-07,11,139.62,16.58
2025-01-07,12,124.86,39.2
2025-01-07,13,118.3,24.18
2025-01-07,14,92.99,9.36
2025-01-07,15,112.14,60.33
2025-01-07,16,127.68,12.39
2025-01-07,17,147.43,68.48
2025-01-07,18,132.85,58.66
2025-01-07,19,119.72,37.41
2025-01-07,20,163.27,37.02
2025-01-07,21,114.52,40.5
2025-01-07,22,129.23,6.48
2025-01-07,23,153.66,42.88
2025-01-07,24,142.24,63.27
2025-01-07,25,121.48,46.08
2025-01-07,26,167.86,53.91
2025-01-07,27,149.08,62.66
2025-01-07,28,152.25,19.47
2025-01-07,29,125.09,54.87
2025-01-07,30,139.24,43.78
2025-01-07,31,160.04,52.85
2025-01-07,32,192.18,65.97
2025-01-07,33,168.08,101.89
2025-01-07,34,171.52,68.57
2025-01-07,35,206.69,73.77
2025-01-07,36,214.81,94.71
2025-01-07,37,186.15,101.15
2025-01-07,38,197.99,86.09
2025-01-07,39,154.25,79.6
2025-01-07,40,146.91,57.98
2025-01-07,41,126.9,75.45
2025-01-07,42,168.85,13.65
2025-01-07,43,111.62,2.88
2025-01-07,44,155.17,34.86
2025-01-07,45,102.06,-15.66
2025-01-07,46,133.93,40.98
2025-01-07,47,137.68,2.36
2025-01-07,48,92.81,25.87
2025-01-08,1,133.45,-6.24
2025-01-08,2,146.06,5.1
2025-01-08,3,101.56,37.74
2025-01-08,4,84.79,-4.25
2025-01-08,5,102.89,2.79
2025-01-08,6,104.82,5.25
2025-01-08,7,134.85,30.4
2025-01-08,8,100.35,18.74
2025-01-08,9,101.04,-26.41
2025-01-08,10,104.22,32.23
2025-01-08,11,96.83,28.45
2025-01-08,12,119.97,20.44
2025-01-08,13,113.98,4.03
2025-01-08,14,128.36,47.99
2025-01-08,15,144.46,42.14
2025-01-08,16,158.11,15.54
2025-01-08,17,119.55,20.23
2025-01-08,18,143.74,27.56
2025-01-08,19,169.59,61.18
2025-01-08,20,140.35,15.9
2025-01-08,21,131.61,47.01
2025-01-08,22,143.2,53.16
2025-01-08,23,134.32,60.25
2025-01-08,24,127.75,33.76
2025-01-08,25,131.07,77.27
2025-01-08,26,180.16,78.17
2025-01-08,27,162.34,39.41
2025-01-08,28,154.18,16.97
2025-01-08,29,134.6,49.47
2025-01-08,30,173.0,33.03
2025-01-08,31,166.81,73.39
2025-01-08,32,177.84,36.86
2025-01-08,33,170.66,92.43
2025-01-08,34,160.06,55.47
2025-01-08,35,198.89,105.98
2025-01-08,36,164.26,73.97
2025-01-08,37,198.67,65.02
2025-01-08,38,182.86,42.09
2025-01-08,39,164.32,49.91
2025-01-08,40,140.99,52.5
2025-01-08,41,124.99,53.03
2025-01-08,42,157.09,32.72
2025-01-08,43,141.49,29.88
2025-01-08,44,118.16,26.49
2025-01-08,45,97.99,12.48
2025-01-08,46,134.44,8.32
2025-01-08,47,122.12,0.73
2025-01-08,48,105.29,37.01
2025-01-09,1,106.83,-10.69
2025-01-09,2,131.12,27.34
2025-01-09,3,132.23,-9.5
2025-01-09,4,139.29,27.81
2025-01-09,5,107.62,5.76
2025-01-09,6,99.5,36.29
2025-01-09,7,116.09,5.17
2025-01-09,8,95.45,-10.44
2025-01-09,9,121.77,0.48
2025-01-09,10,128.87,-8.38
2025-01-09,11,138.68,-12.45
2025-01-09,12,130.75,17.63
2025-01-09,13,128.02,45.56
2025-01-09,14,121.63,31.18
2025-01-09,15,147.14,4.11
2025-01-09,16,136.09,28.53
2025-01-09,17,145.77,39.89
2025-01-09,18,163.21,28.49
2025-01-09,19,156.51,55.35
2025-01-09,20,155.74,55.76
2025-01-09,21,150.65,20.62
2025-01-09,22,168.8,17.02
2025-01-09,23,110.59,40.22
2025-01-09,24,154.15,56.57
2025-01-09,25,147.4,23.09
2025-01-09,26,155.81,17.14
2025-01-09,27,168.55,62.64
2025-01-09,28,129.95,50.89
2025-01-09,29,145.15,55.99
2025-01-09,30,179.33,82.97
2025-01-09,31,138.99,75.91
2025-01-09,32,158.93,71.36
2025-01-09,33,189.32,70.93
2025-01-09,34,164.96,64.45
2025-01-09,35,175.45,107.91
2025-01-09,36,169.13,68.29
2025-01-09,37,198.38,57.01
2025-01-09,38,188.49,74.91
2025-01-09,39,147.45,77.97
2025-01-09,40,155.71,45.7
2025-01-09,41,130.54,28.67
2025-01-09,42,152.42,44.66
2025-01-09,43,123.49,56.1
2025-01-09,44,136.12,34.96
2025-01-09,45,133.18,18.06
2025-01-09,46,138.83,43.35
2025-01-09,47,145.92,19.58
2025-01-09,48,119.19,-9.4
2025-01-10,1,106.65,-0.27
2025-01-10,2,113.43,-15.46
2025-01-10,3,94.8,26.96
2025-01-10,4,139.05,26.44
2025-01-10,5,99.33,13.64
2025-01-10,6,136.21,-13.98
2025-01-10,7,81.99,-25.95
2025-01-10,8,90.17,35.83
2025-01-10,9,89.46,3.39
2025-01-10,10,96.31,16.68
2025-01-10,11,111.17,1.32
2025-01-10,12,116.31,-5.68
2025-01-10,13,140.48,3.59
2025-01-10,14,112.53,25.68
2025-01-10,15,101.88,20.61
2025-01-10,16,163.85,26.04
2025-01-10,17,141.41,37.07
2025-01-10,18,173.82,69.08
2025-01-10,19,133.79,30.58
2025-01-10,20,144.44,60.35
2025-01-10,21,133.53,19.06
2025-01-10,22,130.3,27.44
2025-01-10,23,136.21,59.19
2025-01-10,24,144.31,38.99
2025-01-10,25,138.41,27.15
2025-01-10,26,164.52,72.2
2025-01-10,27,176.26,34.7
2025-01-10,28,139.51,46.24
2025-01-10,29,172.19,58.29
2025-01-10,30,185.07,74.63
2025-01-10,31,169.72,42.08
2025-01-10,32,147.19,80.91
2025-01-10,33,171.94,87.97
2025-01-10,34,178.13,84.02
2025-01-10,35,187.78,117.14
2025-01-10,36,203.94,67.0
2025-01-10,37,189.38,74.25
2025-01-10,38,160.99,70.17
2025-01-10,39,162.3,87.59
2025-01-10,40,180.86,32.82
2025-01-10,41,169.81,43.83
2025-01-10,42,140.03,58.1
2025-01-10,43,116.59,3.28
2025-01-10,44,138.94,36.87
2025-01-10,45,147.6,32.92
2025-01-10,46,126.68,18.5
2025-01-10,47,122.46,24.19
2025-01-10,48,109.6,26.44
2025-01-11,1,89.97,0.73
2025-01-11,2,83.32,14.22
2025-01-11,3,81.86,-9.27
2025-01-11,4,89.63,12.32
2025-01-11,5,125.39,19.65
2025-01-11,6,105.16,-17.73
2025-01-11,7,96.72,-6.88
2025-01-11,8,104.57,21.0
2025-01-11,9,88.84,-4.97
2025-01-11,10,83.91,7.95
2025-01-11,11,110.9,4.56
2025-01-11,12,129.59,13.17
2025-01-11,13,135.38,19.39
2025-01-11,14,104.78,54.85
2025-01-11,15,144.82,-7.73
2025-01-11,16,116.03,51.13
2025-01-11,17,105.35,36.97
2025-01-11,18,144.35,12.35
2025-01-11,19,129.99,11.71
2025-01-11,20,155.36,41.93
2025-01-11,21,130.69,44.44
2025-01-11,22,120.41,28.09
2025-01-11,23,113.7,53.82
2025-01-11,24,145.17,21.04
2025-01-11,25,109.97,56.2
2025-01-11,26,134.82,41.19
2025-01-11,27,144.69,22.39
2025-01-11,28,140.89,27.92
2025-01-11,29,163.16,41.14
2025-01-11,30,165.7,69.42
2025-01-11,31,144.21,45.85
2025-01-11,32,149.92,22.64
2025-01-11,33,184.28,55.14
2025-01-11,34,171.57,39.7
2025-01-11,35,152.43,57.91
2025-01-11,36,186.28,44.94
2025-01-11,37,174.94,53.01
2025-01-11,38,163.1,34.88
2025-01-11,39,149.4,60.92
2025-01-11,40,149.4,60.13
2025-01-11,41,120.27,44.87
2025-01-11,42,99.01,-0.16
2025-01-11,43,135.68,30.28
2025-01-11,44,98.43,-4.03
2025-01-11,45,122.36,12.97
2025-01-11,46,115.72,20.09
2025-01-11,47,118.06,24.43
2025-01-11,48,92.94,-24.84
2025-01-12,1,95.06,6.42
2025-01-12,2,121.64,16.13
2025-01-12,3,115.46,-19.18
2025-01-12,4,128.45,-14.93
2025-01-12,5,114.41,8.99
2025-01-12,6,115.02,20.48
2025-01-12,7,123.98,-21.81
2025-01-12,8,86.15,17.57
2025-01-12,9,124.6,27.91
2025-01-12,10,79.32,9.83
2025-01-12,11,113.56,-18.68
2025-01-12,12,107.98,33.29
2025-01-12,13,121.4,25.55
2025-01-12,14,131.88,16.48
2025-01-12,15,126.38,34.64
2025-01-12,16,132.85,29.97
2025-01-12,17,143.7,40.48
2025-01-12,18,118.26,56.24
2025-01-12,19,110.25,17.04
2025-01-12,20,117.9,7.76
2025-01-12,21,114.79,40.59
2025-01-12,22,106.86,28.11
2025-01-12,23,110.14,-1.06
2025-01-12,24,120.26,36.85
2025-01-12,25,135.67,35.22
2025-01-12,26,129.87,47.82
2025-01-12,27,119.98,22.98
2025-01-12,28,158.1,62.26
2025-01-12,29,128.21,67.39
2025-01-12,30,145.33,43.61
2025-01-12,31,126.02,43.39
2025-01-12,32,148.57,84.26
2025-01-12,33,167.55,49.92
2025-01-12,34,152.2,48.77
2025-01-12,35,192.8,54.58
2025-01-12,36,181.19,39.38
2025-01-12,37,190.01,65.09
2025-01-12,38,184.34,66.65
2025-01-12,39,177.53,64.69
2025-01-12,40,165.17,14.26
2025-01-12,41,120.24,7.54
2025-01-12,42,148.3,33.06
2025-01-12,43,147.54,24.79
2025-01-12,44,108.2,-3.14
2025-01-12,45,96.52,16.16
2025-01-12,46,113.16,21.97
2025-01-12,47,134.27,28.34
2025-01-12,48,85.18,20.4
2025-01-13,1,91.89,-0.74
2025-01-13,2,134.78,1.72
2025-01-13,3,93.38,29.5
2025-01-13,4,119.56,3.98
2025-01-13,5,127.25,0.96
2025-01-13,6,105.51,-17.52
2025-01-13,7,91.74,-1.15
2025-01-13,8,105.64,23.9
2025-01-13,9,124.87,16.67
2025-01-13,10,126.65,27.75
2025-01-13,11,120.65,12.8
2025-01-13,12,104.71,24.66
2025-01-13,13,101.26,46.75
2025-01-13,14,132.6,43.48
2025-01-13,15,114.94,12.39
2025-01-13,16,166.88,12.47
2025-01-13,17,148.58,11.6
2025-01-13,18,141.59,55.88
2025-01-13,19,134.56,53.81
2025-01-13,20,138.05,60.68
2025-01-13,21,138.83,53.31
2025-01-13,22,120.16,63.78
2025-01-13,23,123.1,46.84
