date,period,product,avail_gbp_mw_h
2025-01-01,1,BRpos,4.623
2025-01-01,1,BRneg,0.839
2025-01-01,2,BRpos,2.61
2025-01-01,2,BRneg,1.427
2025-01-01,3,BRpos,5.38
2025-01-01,3,BRneg,0.758
2025-01-01,4,BRpos,4.53
2025-01-01,4,BRneg,2.225
2025-01-01,5,BRpos,2.826
2025-01-01,5,BRneg,2.377
2025-01-01,6,BRpos,2.09
2025-01-01,6,BRneg,1.068
2025-01-01,7,BRpos,4.748
2025-01-01,7,BRneg,1.333
2025-01-01,8,BRpos,3.028
2025-01-01,8,BRneg,1.984
2025-01-01,9,BRpos,2.931
2025-01-01,9,BRneg,0.943
2025-01-01,10,BRpos,3.499
2025-01-01,10,BRneg,2.006
2025-01-01,11,BRpos,3.329
2025-01-01,11,BRneg,1.335
2025-01-01,12,BRpos,1.814
2025-01-01,12,BRneg,0.891
2025-01-01,13,BRpos,2.315
2025-01-01,13,BRneg,1.363
2025-01-01,14,BRpos,4.849
2025-01-01,14,BRneg,1.061
2025-01-01,15,BRpos,2.987
2025-01-01,15,BRneg,2.358
2025-01-01,16,BRpos,3.873
2025-01-01,16,BRneg,1.237
2025-01-01,17,BRpos,2.742
2025-01-01,17,BRneg,1.794
2025-01-01,18,BRpos,3.124
2025-01-01,18,BRneg,1.019
2025-01-01,19,BRpos,6.415
2025-01-01,19,BRneg,2.353
2025-01-01,20,BRpos,2.038
2025-01-01,20,BRneg,1.211
2025-01-01,21,BRpos,1.873
2025-01-01,21,BRneg,2.15
2025-01-01,22,BRpos,2.203
2025-01-01,22,BRneg,1.86
2025-01-01,23,BRpos,12.913
2025-01-01,23,BRneg,1.947
2025-01-01,24,BRpos,3.925
2025-01-01,24,BRneg,1.121
2025-01-01,25,BRpos,3.266
2025-01-01,25,BRneg,2.61
2025-01-01,26,BRpos,2.183
2025-01-01,26,BRneg,0.76
2025-01-01,27,BRpos,3.948
2025-01-01,27,BRneg,3.58
2025-01-01,28,BRpos,2.78
2025-01-01,28,BRneg,0.948
2025-01-01,29,BRpos,9.068
2025-01-01,29,BRneg,1.116
2025-01-01,30,BRpos,5.292
2025-01-01,30,BRneg,1.921
2025-01-01,31,BRpos,2.592
2025-01-01,31,BRneg,1.975
2025-01-01,32,BRpos,1.958
2025-01-01,32,BRneg,1.746
2025-01-01,33,BRpos,3.299
2025-01-01,33,BRneg,1.837
2025-01-01,34,BRpos,4.628
2025-01-01,34,BRneg,4.253
2025-01-01,35,BRpos,6.046
2025-01-01,35,BRneg,1.49
2025-01-01,36,BRpos,12.093
2025-01-01,36,BRneg,2.384
2025-01-01,37,BRpos,3.383
2025-01-01,37,BRneg,1.728
2025-01-01,38,BRpos,5.555
2025-01-01,38,BRneg,2.402
2025-01-01,39,BRpos,5.799
2025-01-01,39,BRneg,3.454
2025-01-01,40,BRpos,2.381
2025-01-01,40,BRneg,0.934
2025-01-01,41,BRpos,5.255
2025-01-01,41,BRneg,0.889
2025-01-01,42,BRpos,4.335
2025-01-01,42,BRneg,1.299
2025-01-01,43,BRpos,4.433
2025-01-01,43,BRneg,2.949
2025-01-01,44,BRpos,3.146
2025-01-01,44,BRneg,1.802
2025-01-01,45,BRpos,3.624
2025-01-01,45,BRneg,1.79
2025-01-01,46,BRpos,2.37
2025-01-01,46,BRneg,1.42
2025-01-01,47,BRpos,4.011
2025-01-01,47,BRneg,2.78
2025-01-01,48,BRpos,1.324
2025-01-01,48,BRneg,1.502
2025-01-02,1,BRpos,3.292
2025-01-02,1,BRneg,3.149
2025-01-02,2,BRpos,3.814
2025-01-02,2,BRneg,2.364
2025-01-02,3,BRpos,5.121
2025-01-02,3,BRneg,2.362
2025-01-02,4,BRpos,3.175
2025-01-02,4,BRneg,0.656
