date,period,price_gbp_mwh
2025-01-01,1,72.4
2025-01-01,2,65.09
2025-01-01,3,70.62
2025-01-01,4,70.09
2025-01-01,5,57.59
2025-01-01,6,59.63
2025-01-01,7,65.2
2025-01-01,8,63.74
2025-01-01,9,65.82
2025-01-01,10,64.06
2025-01-01,11,73.49
2025-01-01,12,76.7
2025-01-01,13,78.59
2025-01-01,14,88.44
2025-01-01,15,91.61
2025-01-01,16,91.46
2025-01-01,17,100.08
2025-01-01,18,96.7
2025-01-01,19,104.44
2025-01-01,20,100.27
2025-01-01,21,99.2
2025-01-01,22,97.17
2025-01-01,23,105.43
2025-01-01,24,101.17
2025-01-01,25,101.7
2025-01-01,26,103.83
2025-01-01,27,109.33
2025-01-01,28,110.89
2025-01-01,29,113.89
2025-01-01,30,117.75
2025-01-01,31,129.66
2025-01-01,32,125.75
2025-01-01,33,132.18
2025-01-01,34,137.12
2025-01-01,35,146.7
2025-01-01,36,149.03
2025-01-01,37,140.23
2025-01-01,38,129.96
2025-01-01,39,120.51
2025-01-01,40,116.36
2025-01-01,41,107.49
2025-01-01,42,98.94
2025-01-01,43,87.97
2025-01-01,44,86.75
2025-01-01,45,82.43
2025-01-01,46,79.61
2025-01-01,47,79.4
2025-01-01,48,74.31
2025-01-02,1,72.99
2025-01-02,2,72.61
2025-01-02,3,66.49
2025-01-02,4,66.65
2025-01-02,5,62.65
2025-01-02,6,68.85
2025-01-02,7,60.03
2025-01-02,8,68.19
2025-01-02,9,65.17
2025-01-02,10,72.21
2025-01-02,11,73.04
2025-01-02,12,80.93
2025-01-02,13,81.31
2025-01-02,14,77.71
2025-01-02,15,89.54
2025-01-02,16,90.28
2025-01-02,17,96.61
2025-01-02,18,106.66
2025-01-02,19,103.56
2025-01-02,20,97.75
2025-01-02,21,95.96
2025-01-02,22,100.11
2025-01-02,23,95.76
2025-01-02,24,99.19
2025-01-02,25,104.75
2025-01-02,26,109.94
2025-01-02,27,109.72
2025-01-02,28,100.35
2025-01-02,29,113.55
2025-01-02,30,116.41
2025-01-02,31,122.85
2025-01-02,32,133.95
2025-01-02,33,126.08
2025-01-02,34,138.12
2025-01-02,35,146.72
2025-01-02,36,138.3
2025-01-02,37,146.7
2025-01-02,38,134.9
2025-01-02,39,127.29
2025-01-02,40,111.57
2025-01-02,41,107.86
2025-01-02,42,101.12
2025-01-02,43,91.63
2025-01-02,44,86.83
2025-01-02,45,83.11
2025-01-02,46,75.34
2025-01-02,47,75.39
2025-01-02,48,72.86
2025-01-03,1,71.41
2025-01-03,2,70.43
2025-01-03,3,65.25
2025-01-03,4,68.32
2025-01-03,5,63.36
2025-01-03,6,63.29
2025-01-03,7,70.24
2025-01-03,8,60.95
2025-01-03,9,56.33
2025-01-03,10,74.02
2025-01-03,11,80.28
2025-01-03,12,72.08
2025-01-03,13,70.7
2025-01-03,14,82.82
2025-01-03,15,88.73
2025-01-03,16,94.28
2025-01-03,17,94.3
2025-01-03,18,103.01
2025-01-03,19,103.18
2025-01-03,20,94.64
2025-01-03,21,102.89
2025-01-03,22,108.26
2025-01-03,23,101.39
2025-01-03,24,100.6
2025-01-03,25,103.01
2025-01-03,26,107.86
2025-01-03,27,100.44
2025-01-03,28,110.26
2025-01-03,29,110.85
2025-01-03,30,123.6
2025-01-03,31,120.59
2025-01-03,32,134.25
2025-01-03,33,130.02
2025-01-03,34,142.94
2025-01-03,35,145.74
2025-01-03,36,141.26
2025-01-03,37,141.61
2025-01-03,38,138.38
2025-01-03,39,122.7
2025-01-03,40,107.17
2025-01-03,41,104.61
2025-01-03,42,93.31
2025-01-03,43,89.4
2025-01-03,44,85.63
2025-01-03,45,75.27
2025-01-03,46,72.39
2025-01-03,47,77.96
2025-01-03,48,71.43
2025-01-04,1,65.13
2025-01-04,2,56.47
2025-01-04,3,59.29
2025-01-04,4,62.26
2025-01-04,5,61.14
2025-01-04,6,58.03
2025-01-04,7,60.6
2025-01-04,8,59.3
2025-01-04,9,62.91
2025-01-04,10,60.66
2025-01-04,11,60.29
2025-01-04,12,66.24
2025-01-04,13,57.36
2025-01-04,14,75.55
2025-01-04,15,64.55
2025-01-04,16,76.8
2025-01-04,17,88.77
2025-01-04,18,90.58
2025-01-04,19,84.36
2025-01-04,20,85.76
2025-01-04,21,93.62
2025-01-04,22,86.17
2025-01-04,23,97.65
2025-01-04,24,89.77
2025-01-04,25,92.84
2025-01-04,26,99.28
2025-01-04,27,95.07
2025-01-04,28,92.5
2025-01-04,29,98.55
2025-01-04,30,102.19
2025-01-04,31,101.34
2025-01-04,32,111.32
2025-01-04,33,115.41
2025-01-04,34,127.5
2025-01-04,35,127.35
2025-01-04,36,126.32
2025-01-04,37,123.65
2025-01-04,38,118.48
2025-01-04,39,111.66
2025-01-04,40,96.33
2025-01-04,41,88.01
2025-01-04,42,89.77
2025-01-04,43,78.28
2025-01-04,44,70.02
2025-01-04,45,74.07
2025-01-04,46,71.29
2025-01-04,47,60.83
2025-01-04,48,65.66
2025-01-05,1,63.09
2025-01-05,2,59.46
2025-01-05,3,52.45
2025-01-05,4,57.85
2025-01-05,5,51.47
2025-01-05,6,61.09
2025-01-05,7,63.16
2025-01-05,8,54.18
2025-01-05,9,59.35
2025-01-05,10,56.64
2025-01-05,11,59.24
2025-01-05,12,68.04
2025-01-05,13,68.97
2025-01-05,14,81.03
2025-01-05,15,77.27
2025-01-05,16,87.74
2025-01-05,17,87.41
2025-01-05,18,91.9
2025-01-05,19,87.28
2025-01-05,20,88.46
2025-01-05,21,87.73
2025-01-05,22,84.81
2025-01-05,23,91.38
2025-01-05,24,92.43
2025-01-05,25,93.64
2025-01-05,26,99.02
2025-01-05,27,100.4
2025-01-05,28,95.07
2025-01-05,29,100.55
2025-01-05,30,99.9
2025-01-05,31,106.96
2025-01-05,32,110.01
2025-01-05,33,124.94
2025-01-05,34,125.34
2025-01-05,35,126.42
2025-01-05,36,132.3
2025-01-05,37,115.47
2025-01-05,38,109.6
2025-01-05,39,112.44
2025-01-05,40,100.64
2025-01-05,41,93.24
2025-01-05,42,80.09
2025-01-05,43,79.89
2025-01-05,44,83.75
2025-01-05,45,75.63
2025-01-05,46,70.16
2025-01-05,47,65.24
2025-01-05,48,63.21
2025-01-06,1,74.66
2025-01-06,2,68.9
2025-01-06,3,66.28
2025-01-06,4,67.11
2025-01-06,5,62.35
2025-01-06,6,60.47
2025-01-06,7,61.15
2025-01-06,8,62.69
2025-01-06,9,61.45
2025-01-06,10,68.35
2025-01-06,11,73.13
2025-01-06,12,67.49
2025-01-06,13,78.7
2025-01-06,14,83.34
2025-01-06,15,91.41
2025-01-06,16,95.16
2025-01-06,17,93.12
2025-01-06,18,95.83
2025-01-06,19,101.39
2025-01-06,20,104.92
2025-01-06,21,91.42
2025-01-06,22,101.62
2025-01-06,23,105.65
2025-01-06,24,101.53
2025-01-06,25,105.97
2025-01-06,26,102.78
2025-01-06,27,107.08
2025-01-06,28,103.32
2025-01-06,29,103.25
2025-01-06,30,120.2
2025-01-06,31,117.57
2025-01-06,32,125.99
2025-01-06,33,129.14
2025-01-06,34,135.21
2025-01-06,35,144.04
2025-01-06,36,142.08
2025-01-06,37,142.68
2025-01-06,38,135.59
2025-01-06,39,125.51
2025-01-06,40,115.1
2025-01-06,41,111.18
2025-01-06,42,92.83
2025-01-06,43,90.72
2025-01-06,44,90.64
2025-01-06,45,87.3
2025-01-06,46,73.32
2025-01-06,47,74.93
2025-01-06,48,79.09
2025-01-07,1,69.21
2025-01-07,2,67.05
2025-01-07,3,63.11
2025-01-07,4,62.33
2025-01-07,5,58.33
2025-01-07,6,68.01
2025-01-07,7,72.18
2025-01-07,8,70.96
2025-01-07,9,59.64
2025-01-07,10,70.63
2025-01-07,11,75.94
2025-01-07,12,72.05
2025-01-07,13,79.04
2025-01-07,14,76.23
2025-01-07,15,91.16
2025-01-07,16,91.01
2025-01-07,17,99.79
2025-01-07,18,94.68
2025-01-07,19,103.49
2025-01-07,20,104.96
2025-01-07,21,97.2
2025-01-07,22,95.74
2025-01-07,23,92.31
2025-01-07,24,101.12
2025-01-07,25,101.5
2025-01-07,26,99.44
2025-01-07,27,109.43
2025-01-07,28,108.06
2025-01-07,29,108.38
2025-01-07,30,114.27
2025-01-07,31,125.86
2025-01-07,32,130.29
2025-01-07,33,134.23
