period,weekday_gbp_mwh,weekend_gbp_mwh
1,0.4,0.4
2,0.4,0.4
3,0.4,0.4
4,0.4,0.4
5,0.4,0.4
6,0.4,0.4
7,0.4,0.4
8,0.4,0.4
9,0.4,0.4
10,0.4,0.4
11,0.4,0.4
12,0.4,0.4
13,0.4,0.4
14,0.4,0.4
15,0.4,0.4
16,0.4,0.4
17,2.5,0.4
18,2.5,0.4
19,2.5,0.4
20,2.5,0.4
21,2.5,0.4
22,2.5,0.4
23,2.5,0.4
24,2.5,0.4
25,2.5,0.4
26,2.5,0.4
27,2.5,0.4
28,2.5,0.4
29,2.5,0.4
30,2.5,0.4
31,2.5,0.4
32,2.5,0.4
33,14.0,0.4
34,14.0,0.4
35,14.0,0.4
36,14.0,0.4
37,14.0,0.4
38,14.0,0.4
39,2.5,0.4
40,2.5,0.4
41,2.5,0.4
42,2.5,0.4
43,2.5,0.4
44,2.5,0.4
45,0.4,0.4
46,0.4,0.4
47,0.4,0.4
48,0.4,0.4
