date,efa_block,product,avail_gbp_mw_h,util_gbp_mwh
2025-01-01,1,PQR,7.207,103.9
2025-01-01,1,NQR,0.804,50.9
2025-01-01,1,SR,14.872,82.1
2025-01-01,2,PQR,2.703,107.9
2025-01-01,2,NQR,1.139,31.2
2025-01-01,2,SR,2.703,81.3
2025-01-01,3,PQR,2.872,157.5
2025-01-01,3,NQR,1.092,29.2
2025-01-01,3,SR,3.729,96.2
2025-01-01,4,PQR,3.95,92.3
2025-01-01,4,NQR,2.766,53.3
2025-01-01,4,SR,2.497,138.8
2025-01-01,5,PQR,9.726,122.9
2025-01-01,5,NQR,2.318,45.9
2025-01-01,5,SR,7.565,87.8
2025-01-01,6,PQR,3.314,141.6
2025-01-01,6,NQR,1.619,54.6
2025-01-01,6,SR,6.403,114.0
2025-01-02,1,PQR,1.707,155.4
2025-01-02,1,NQR,0.748,42.0
2025-01-02,1,SR,2.694,85.1
2025-01-02,2,PQR,2.01,161.9
2025-01-02,2,NQR,1.603,36.6
2025-01-02,2,SR,1.477,77.6
2025-01-02,3,PQR,2.467,159.9
2025-01-02,3,NQR,0.47,55.0
2025-01-02,3,SR,3.383,143.7
2025-01-02,4,PQR,1.687,108.2
2025-01-02,4,NQR,4.329,49.0
2025-01-02,4,SR,3.522,86.5
2025-01-02,5,PQR,6.035,150.7
2025-01-02,5,NQR,4.94,43.6
2025-01-02,5,SR,4.75,148.2
2025-01-02,6,PQR,1.678,149.0
2025-01-02,6,NQR,1.28,48.7
2025-01-02,6,SR,6.842,80.8
2025-01-03,1,PQR,1.272,127.8
2025-01-03,1,NQR,1.041,35.3
2025-01-03,1,SR,4.007,114.1
2025-01-03,2,PQR,2.068,157.6
2025-01-03,2,NQR,1.365,55.6
2025-01-03,2,SR,1.75,150.4
2025-01-03,3,PQR,1.847,129.6
2025-01-03,3,NQR,1.279,35.1
2025-01-03,3,SR,3.355,142.6
2025-01-03,4,PQR,2.891,101.4
2025-01-03,4,NQR,1.277,31.4
2025-01-03,4,SR,3.892,84.7
2025-01-03,5,PQR,7.647,155.5
2025-01-03,5,NQR,5.36,42.9
