date,efa_block,product,avail_gbp_mw_h
2025-01-01,1,DCL,1.753
2025-01-01,1,DCH,0.916
2025-01-01,1,DML,1.411
2025-01-01,1,DMH,0.948
2025-01-01,1,DRL,1.569
2025-01-01,1,DRH,0.859
2025-01-01,2,DCL,2.171
2025-01-01,2,DCH,1.238
2025-01-01,2,DML,4.543
2025-01-01,2,DMH,0.531
2025-01-01,2,DRL,2.924
2025-01-01,2,DRH,2.31
2025-01-01,3,DCL,3.769
2025-01-01,3,DCH,1.017
2025-01-01,3,DML,3.115
2025-01-01,3,DMH,1.856
2025-01-01,3,DRL,4.594
2025-01-01,3,DRH,2.4
2025-01-01,4,DCL,8.188
2025-01-01,4,DCH,1.809
2025-01-01,4,DML,1.867
2025-01-01,4,DMH,0.713
2025-01-01,4,DRL,8.567
2025-01-01,4,DRH,2.551
2025-01-01,5,DCL,6.381
2025-01-01,5,DCH,2.296
2025-01-01,5,DML,3.544
2025-01-01,5,DMH,1.77
2025-01-01,5,DRL,6.245
2025-01-01,5,DRH,3.621
2025-01-01,6,DCL,1.704
2025-01-01,6,DCH,1.933
2025-01-01,6,DML,7.133
2025-01-01,6,DMH,0.635
2025-01-01,6,DRL,8.001
2025-01-01,6,DRH,2.088
2025-01-02,1,DCL,3.619
2025-01-02,1,DCH,1.577
2025-01-02,1,DML,2.539
2025-01-02,1,DMH,2.753
2025-01-02,1,DRL,3.62
2025-01-02,1,DRH,1.536
2025-01-02,2,DCL,2.521
2025-01-02,2,DCH,1.235
2025-01-02,2,DML,1.965
2025-01-02,2,DMH,0.594
2025-01-02,2,DRL,5.189
2025-01-02,2,DRH,2.268
2025-01-02,3,DCL,3.828
2025-01-02,3,DCH,0.857
2025-01-02,3,DML,2.708
2025-01-02,3,DMH,0.541
2025-01-02,3,DRL,8.297
2025-01-02,3,DRH,3.76
2025-01-02,4,DCL,5.333
2025-01-02,4,DCH,4.052
2025-01-02,4,DML,1.519
2025-01-02,4,DMH,0.818
2025-01-02,4,DRL,5.317
2025-01-02,4,DRH,5.01
2025-01-02,5,DCL,2.95
2025-01-02,5,DCH,1.811
2025-01-02,5,DML,3.164
2025-01-02,5,DMH,2.801
2025-01-02,5,DRL,8.0
2025-01-02,5,DRH,1.383
2025-01-02,6,DCL,6.011
2025-01-02,6,DCH,2.054
2025-01-02,6,DML,1.296
2025-01-02,6,DMH,1.79
2025-01-02,6,DRL,3.1
2025-01-02,6,DRH,2.77
2025-01-03,1,DCL,1.828
2025-01-03,1,DCH,0.581
2025-01-03,1,DML,2.128
2025-01-03,1,DMH,1.038
2025-01-03,1,DRL,2.675
2025-01-03,1,DRH,2.716
2025-01-03,2,DCL,3.755
2025-01-03,2,DCH,1.079
2025-01-03,2,DML,0.744
2025-01-03,2,DMH,0.327
2025-01-03,2,DRL,3.291
2025-01-03,2,DRH,1.404
2025-01-03,3,DCL,1.945
2025-01-03,3,DCH,1.553
2025-01-03,3,DML,4.593
2025-01-03,3,DMH,0.903
2025-01-03,3,DRL,1.219
2025-01-03,3,DRH,0.86
2025-01-03,4,DCL,2.663
2025-01-03,4,DCH,0.97
2025-01-03,4,DML,3.479
2025-01-03,4,DMH,0.578
2025-01-03,4,DRL,5.747
2025-01-03,4,DRH,2.358
2025-01-03,5,DCL,5.8
2025-01-03,5,DCH,1.308
2025-01-03,5,DML,2.821
2025-01-03,5,DMH,2.277
2025-01-03,5,DRL,9.367
2025-01-03,5,DRH,2.462
2025-01-03,6,DCL,3.504
2025-01-03,6,DCH,1.065
2025-01-03,6,DML,3.197
2025-01-03,6,DMH,1.029
2025-01-03,6,DRL,4.788
2025-01-03,6,DRH,6.316
2025-01-04,1,DCL,1.815
2025-01-04,1,DCH,1.146
2025-01-04,1,DML,0.985
2025-01-04,1,DMH,0.681
2025-01-04,1,DRL,4.079
2025-01-04,1,DRH,2.154
2025-01-04,2,DCL,1.314
2025-01-04,2,DCH,0.893
2025-01-04,2,DML,2.303
2025-01-04,2,DMH,1.185
2025-01-04,2,DRL,3.088
2025-01-04,2,DRH,3.376
2025-01-04,3,DCL,2.116
2025-01-04,3,DCH,2.826
2025-01-04,3,DML,1.453
2025-01-04,3,DMH,0.579
2025-01-04,3,DRL,3.34
2025-01-04,3,DRH,2.49
2025-01-04,4,DCL,4.336
2025-01-04,4,DCH,2.329
2025-01-04,4,DML,2.146
2025-01-04,4,DMH,1.135
2025-01-04,4,DRL,3.313
2025-01-04,4,DRH,0.595
2025-01-04,5,DCL,10.686
2025-01-04,5,DCH,2.753
2025-01-04,5,DML,6.079
2025-01-04,5,DMH,1.191
2025-01-04,5,DRL,9.226
2025-01-04,5,DRH,4.841
2025-01-04,6,DCL,4.292
2025-01-04,6,DCH,1.936
2025-01-04,6,DML,2.028
2025-01-04,6,DMH,1.388
2025-01-04,6,DRL,6.925
2025-01-04,6,DRH,3.359
2025-01-05,1,DCL,4.64
2025-01-05,1,DCH,0.602
2025-01-05,1,DML,2.585
2025-01-05,1,DMH,1.09
2025-01-05,1,DRL,2.784
2025-01-05,1,DRH,1.774
2025-01-05,2,DCL,3.736
2025-01-05,2,DCH,0.58
2025-01-05,2,DML,1.446
2025-01-05,2,DMH,0.638
2025-01-05,2,DRL,6.431
2025-01-05,2,DRH,1.852
2025-01-05,3,DCL,3.481
2025-01-05,3,DCH,1.77
2025-01-05,3,DML,3.862
2025-01-05,3,DMH,0.413
2025-01-05,3,DRL,1.838
2025-01-05,3,DRH,2.243
2025-01-05,4,DCL,3.326
2025-01-05,4,DCH,1.361
2025-01-05,4,DML,2.218
2025-01-05,4,DMH,2.137
2025-01-05,4,DRL,8.623
2025-01-05,4,DRH,2.06
2025-01-05,5,DCL,15.312
2025-01-05,5,DCH,1.389
2025-01-05,5,DML,5.982
