product,window,direction,granularity,tau_h,committed_kw,alloc_it_kw,alloc_ups_kw,alloc_cl_kw
DCL,5,down,efa,0.25,4189.13424993358,0.0,4189.13424993358,0.0
DML,1,down,efa,0.5,4679.578340589398,0.0,4679.578340589398,0.0
BRpos,11,down,sp,2.0,282.3105653233817,0.0,100.06056532338168,182.25
BRpos,18,down,sp,2.0,298.90933972201776,298.90933972201776,0.0,0.0
BRpos,22,down,sp,2.0,168.62275142201622,168.62275142201622,0.0,0.0
BRpos,23,down,sp,2.0,414.0724088020544,414.0724088020544,0.0,0.0
BRpos,24,down,sp,2.0,107.73718891580629,107.73718891580629,0.0,0.0
BRpos,28,down,sp,2.0,248.4133664264928,248.4133664264928,0.0,0.0
BRneg,36,up,sp,2.0,462.962962962963,0.0,0.0,462.962962962963
PQR,2,down,efa,0.25,2944.609748494489,0.0,2944.609748494489,0.0
PQR,3,down,efa,0.25,4661.412746174805,0.0,4661.412746174805,0.0
PQR,4,down,efa,0.25,5057.308114534974,0.0,5057.308114534974,0.0
PQR,6,down,efa,0.25,6314.72012547509,0.0,6314.72012547509,0.0
NQR,1,up,efa,0.25,1549.9634985406706,0.0,1549.9634985406706,0.0
NQR,5,up,efa,0.25,1325.5567338282096,0.0,1325.5567338282096,0.0
SR,1,down,efa,2.0,1817.289491049897,1153.3456341096314,63.943856940265505,600.0
SR,2,down,efa,2.0,2522.9206718823275,1011.0574557675203,911.8632161148073,600.0
SR,3,down,efa,2.0,2078.748206104481,681.4247993763319,797.3234067281495,600.0
SR,4,down,efa,2.0,2385.4790934832613,1037.6426078001332,747.8364856831282,600.0
DSO,1,down,window,2.0,1637.0988029893933,805.740584231091,731.3582187583024,100.0
