slot,P_grid_kw,P_it_kw,P_grid_it_kw,P_chiller_kw,P_ups_ch_kw,P_ups_disch_kw,E_ups_kwh,E_tes_kwh,total_cpu,da_price,x_bm_off_kw,x_bm_bid_kw,committed_down_kw,committed_up_kw
1,6717.733421891692,5912.814660828746,4743.5221975296645,1443.261224362028,0.0,1169.2924632990819,5682.257482799163,6666.666666666666,0.6,73.49,21930.446563533285,3732.3030795676364,6496.867831639295,1549.9634985406706
2,6253.809999999999,4769.049999999999,4769.049999999999,953.8099999999998,0.0,0.0,5682.257482799163,7341.666666666666,0.4723317878287667,73.49,22610.28780247034,4196.22650145933,6496.867831639295,1549.9634985406706
3,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,7341.666666666666,0.469333970609877,66.88,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
4,6618.893328536926,5073.286107114105,5073.286107114105,1014.6572214228212,0.0,0.0,5682.257482799163,7341.666666666666,0.5075568939004003,66.88,22671.13502389316,3831.1431729224023,6496.867831639295,1549.9634985406706
5,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,7341.666666666666,0.469333970609877,70.9,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
6,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,7341.666666666666,0.469333970609877,70.9,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
7,7184.264657604889,4769.049999999999,4769.049999999999,1884.26465760489,0.0,0.0,5682.257482799163,7341.666666666666,0.4723317878287667,65.19,23540.742460075227,3265.77184385444,6496.867831639295,1549.9634985406706
8,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,7341.666666666666,0.469333970609877,65.19,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
9,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,7341.666666666666,0.469333970609877,64.64,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
10,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,7341.666666666666,0.469333970609877,64.64,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
11,6717.818016540128,4743.522197529663,4743.522197529664,1443.3458190104648,0.0,0.0,5682.257482799163,7341.666666666666,0.469333970609877,67.66,23099.823621480802,3706.690682448865,6496.867831639295,1549.9634985406706
12,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,7341.666666666666,0.469333970609877,67.66,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
13,7906.864757812516,4769.049999999999,4769.049999999999,2606.864757812516,0.0,0.0,5682.257482799163,7341.666666666666,0.4723317878287667,58.55,24511.44981086407,2543.171743646814,6496.867831639295,1549.9634985406706
14,7939.54111600999,4769.049999999999,4769.049999999999,2639.5411160099907,0.0,0.0,5682.257482799163,8016.666666666666,0.4723317878287668,58.55,24544.126169061543,2510.4953854493388,6496.867831639295,1549.9634985406706
15,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,8691.666666666666,0.469333970609877,71.78,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
16,6223.176637035596,4743.522197529663,4743.522197529664,948.7044395059328,0.0,0.0,5682.257482799163,8691.666666666666,0.469333970609877,71.78,22605.18224197627,4201.332061953397,6496.867831639295,1549.9634985406706
17,5060.942387671127,3367.597115309153,3367.597115309153,673.5194230618307,488.87584930014305,0.0,5782.477031905692,8691.666666666666,0.3,67.0,23705.92230775268,5537.604727638026,5467.530420376816,0.0
18,5158.717557531156,3856.4729646092965,3856.4729646092965,771.2945929218594,0.0,0.0,5782.477031905692,8691.666666666666,0.3622364113511761,67.0,23314.821628312566,5928.7054070781405,5467.530420376816,0.0
19,5158.717557531156,3856.4729646092965,3856.4729646092965,771.2945929218594,0.0,0.0,5782.477031905692,8691.666666666666,0.3622364113511761,72.99,23314.821628312566,5928.7054070781405,5467.530420376816,0.0
20,5158.717557531156,3856.4729646092965,3856.4729646092965,771.2945929218594,0.0,0.0,5782.477031905692,8691.666666666666,0.3622364113511761,72.99,23314.821628312566,5928.7054070781405,5467.530420376816,0.0
21,7311.891698907715,3367.597115309153,3367.597115309153,2352.2569343580335,1061.0876492405291,0.0,6000.0,8691.666666666666,0.3,66.08,25674.561053665886,3286.6554164014374,5749.840985700198,0.0
22,6997.963974937375,3956.533529932678,3956.533529932678,2510.4804450046963,0.0,0.0,6000.0,9366.666666666666,0.3749746362244484,66.08,24906.554724733483,4189.519554995303,5749.840985700198,0.0
23,5158.717557531156,3856.4729646092965,3856.4729646092965,771.2945929218594,0.0,0.0,6000.0,10000.0,0.3622364113511761,70.32,23314.821628312566,5928.7054070781405,5467.530420376816,0.0
24,5158.717557531156,3856.4729646092965,3856.4729646092965,771.2945929218594,0.0,0.0,6000.0,10000.0,0.3622364113511761,70.32,23314.821628312566,5928.7054070781405,5467.530420376816,0.0
25,5158.717557531156,3856.4729646092965,3856.4729646092965,771.2945929218594,0.0,0.0,6000.0,10000.0,0.3622364113511761,74.14,23314.821628312566,5928.7054070781405,5467.530420376816,0.0
26,6141.691722866138,3920.5198346469806,3920.5198346469806,1690.2218882191573,0.0,0.0,6000.0,10000.0,0.37038990748956563,74.14,24233.748923609863,5009.778111780843,5467.530420376816,0.0
27,5524.833025931371,4161.569188276142,4161.569188276142,832.3138376552286,0.0,0.0,6000.0,10000.0,0.4009932368646926,85.42,23375.840873045934,5867.686162344771,5467.530420376816,0.0
28,5514.683579462773,4153.111316218978,4153.111316218978,830.6222632437958,0.0,0.0,6000.0,10000.0,0.39999999999999997,85.42,23374.1492986345,5869.377736756204,5467.530420376816,0.0
29,5785.335485292007,4378.654571076673,4378.654571076673,875.7309142153347,0.0,0.0,6000.0,10000.0,0.42648631639180534,90.53,23419.257949606043,5824.269085784666,5467.530420376816,0.0
30,6072.8963874968695,4618.288656247391,4618.288656247391,923.6577312494783,0.0,0.0,6000.0,10000.0,0.4546273672163892,90.53,23596.846863683524,5776.342268750522,5467.530420376816,0.0
31,5785.335485292007,4378.654571076673,4378.654571076673,875.7309142153347,0.0,0.0,6000.0,10000.0,0.42648631639180534,93.59,23419.257949606043,5824.269085784666,5467.530420376816,0.0
32,6340.408405402816,4173.548428109175,4173.548428109175,1635.909977293642,0.0,0.0,6000.0,10000.0,0.4023999999999999,93.59,24179.43701268435,5064.090022706358,5467.530420376816,0.0
33,7081.433383483543,5458.736152902953,5458.736152902953,1091.7472305805907,0.0,0.0,6000.0,10000.0,0.55,95.12,22657.21111498528,4918.566616516456,6740.160952279286,0.0
34,7081.433383483543,5458.736152902953,5458.736152902953,1091.7472305805907,0.0,0.0,6000.0,10000.0,0.55,95.12,22668.990768090138,4918.566616516456,6740.160952279286,0.0
35,7841.950310368328,5458.736152902953,5458.736152902953,1852.2641574653758,0.0,0.0,6000.0,10000.0,0.55,96.05,22793.528004562424,4158.049689631671,7039.070292001304,0.0
