t,T_IT,T_Rack,T_c,T_h,T_in,E_TES,P_chiller_HVAC,P_chiller_TES,P_Total,q_chiller_hvac,q_ch,q_dis,q_cool,price,cost
0.0,28.5,26.580715,20.0,27.0,22.16762,150.0,80978.601,-0.0,80978.601,485871.6,0.0,1.7550124e-10,485871.6,0.07750041666666667,664244.3345491893
1.0,28.804744,25.588983,24.52647,25.338112,25.229771,150.0,1815.5268,-0.0,1815.5268,10893.161,0.0,0.0,10893.161,0.07750041666666667,664244.3345491893
2.0,28.635309,26.483438,25.628906,26.332469,26.12467,150.0,3482.1935,-0.0,3482.1935,20893.161,0.0,0.0,20893.161,0.07750041666666667,664244.3345491893
3.0,28.854986,27.045151,26.1929,26.930853,26.623596,150.0,5148.8602,-0.0,5148.8602,30893.161,0.0,0.0,30893.161,0.07750041666666667,664244.3345491893
4.0,29.19976,27.48332,26.562898,27.383886,26.977171,150.0,6815.5268,-0.0,6815.5268,40893.161,0.0,0.0,40893.161,0.07750041666666667,664244.3345491893
5.0,29.578693,27.870106,26.857676,27.778005,27.271832,150.0,8482.1935,-0.0,8482.1935,50893.161,0.0,0.0,50893.161,0.07750041666666667,664244.3345491893
6.0,29.960498,28.230438,27.118226,28.143059,27.537428,150.0,10148.86,-0.0,10148.86,60893.161,0.0,0.0,60893.161,0.07750041666666667,664244.3345491893
7.0,30.33445,28.572964,27.358729,28.489394,27.784305,150.0,11815.527,-0.0,11815.527,70893.161,0.0,0.0,70893.161,0.07750041666666667,664244.3345491893
8.0,30.696908,28.90072,27.584127,28.820631,28.016084,150.0,13482.193,-0.0,13482.193,80893.161,0.0,0.0,80893.161,0.07750041666666667,664244.3345491893
9.0,31.046674,29.214811,27.796176,29.138074,28.23407,150.0,15148.86,-0.0,15148.86,90893.161,0.0,0.0,90893.161,0.07750041666666667,664244.3345491893
10.0,31.383392,29.51567,27.995534,29.442229,28.438766,150.0,16815.527,-0.0,16815.527,100893.16,0.0,0.0,100893.16,0.07750041666666667,664244.3345491893
11.0,31.706994,29.803503,28.182479,29.733323,28.630402,150.0,18482.193,-0.0,18482.193,110893.16,0.0,0.0,110893.16,0.07750041666666667,664244.3345491893
12.0,32.017514,30.078435,28.357161,30.01149,28.809112,150.0,20148.86,-0.0,20148.86,120893.16,0.0,0.0,120893.16,0.07750041666666667,664244.3345491893
13.0,32.315018,30.340563,28.519679,30.276833,28.974996,150.0,21815.527,-0.0,21815.527,130893.16,0.0,0.0,130893.16,0.07750041666666667,664244.3345491893
14.0,32.599584,30.589975,28.670127,30.529436,29.128141,150.0,23482.193,-0.0,23482.193,140893.16,0.0,0.0,140893.16,0.07750041666666667,664244.3345491893
15.0,32.871292,30.826755,28.808569,30.76939,29.268638,150.0,25148.86,-0.0,25148.86,150893.16,0.0,0.0,150893.16,0.07750041666666667,664244.3345491893
16.0,33.130226,31.050983,28.935115,30.996765,29.396554,150.0,26815.527,-0.0,26815.527,160893.16,0.0,0.0,160893.16,0.07750041666666667,664244.3345491893
17.0,33.376466,31.262746,29.049783,31.211667,29.511998,150.0,28482.193,-0.0,28482.193,170893.16,0.0,0.0,170893.16,0.07750041666666667,664244.3345491893
18.0,33.610096,31.462112,29.152765,31.414127,29.615001,150.0,30148.86,-0.0,30148.86,180893.16,0.0,0.0,180893.16,0.07750041666666667,664244.3345491893
19.0,33.831195,31.649186,29.243911,31.604322,29.705738,150.0,31815.527,-0.0,31815.527,190893.16,0.0,0.0,190893.16,0.07750041666666667,664244.3345491893
20.0,34.039849,31.823998,29.323736,31.782144,29.784102,150.0,33482.193,-0.0,33482.193,200893.16,0.0,0.0,200893.16,0.07750041666666667,664244.3345491893
21.0,34.236125,31.986722,29.391459,31.948034,29.850534,150.0,35148.86,-0.0,35148.86,210893.16,0.0,0.0,210893.16,0.07750041666666667,664244.3345491893
22.0,34.42013,32.137251,29.448813,32.101379,29.904421,150.0,36815.527,-0.0,36815.527,220893.16,0.0,0.0,220893.16,0.07750041666666667,664244.3345491893
23.0,34.591891,32.276025,29.492682,32.243562,29.947146,150.0,38482.193,-0.0,38482.193,230893.16,0.0,0.0,230893.16,0.07750041666666667,664244.3345491893
24.0,34.751588,32.402423,29.529223,32.372234,29.97636,150.0,40148.86,-0.0,40148.86,240893.16,0.0,0.0,240893.16,0.07750041666666667,664244.3345491893
25.0,34.899105,32.517853,29.54703,32.491892,29.99656,150.0,41815.527,-0.0,41815.527,250893.16,0.0,0.0,250893.16,0.07750041666666667,664244.3345491893
26.0,35.034887,32.619883,29.567526,32.59479,30.0,150.0,43482.193,-0.0,43482.193,260893.16,0.0,0.0,260893.16,0.07750041666666667,664244.3345491893
27.0,35.158324,32.713244,29.551856,32.694248,30.0,150.0,45148.86,-0.0,45148.86,270893.16,0.0,0.0,270893.16,0.07750041666666667,664244.3345491893
28.0,35.270761,32.789549,29.569049,32.769543,30.0,150.0,46410.615,-0.0,46410.615,278463.69,0.0,0.0,278463.69,0.07750041666666667,664244.3345491893
29.0,35.369983,32.863802,29.550186,32.848839,29.994537,150.0,47830.975,-0.0,47830.975,286985.85,0.0,0.0,286985.85,0.07750041666666667,664244.3345491893
30.0,35.460073,32.923227,29.560054,32.908144,30.0,150.0,48733.225,-0.0,48733.225,292399.35,0.0,0.0,292399.35,0.07750041666666667,664244.3345491893
31.0,35.538947,32.981068,29.560054,32.967928,30.0,150.0,49735.058,-0.0,49735.058,298410.35,0.0,0.0,298410.35,0.07750041666666667,664244.3345491893
32.0,35.610129,33.031703,29.560054,33.020007,30.0,150.0,50607.773,-0.0,50607.773,303646.64,0.0,0.0,303646.64,0.07750041666666667,664244.3345491893
